,Round,Daisy,Epoch,Train Accuracy,Test Accuracy,Confusion Matrix
0,0,10,1,0.09696,0.0939,"[[0, 0, 758, 0, 0, 141, 101, 0, 0, 0], [0, 0, 729, 0, 0, 200, 71, 0, 0, 0], [0, 0, 563, 0, 0, 311, 126, 0, 0, 0], [0, 0, 475, 0, 0, 341, 184, 0, 0, 0], [0, 0, 439, 0, 0, 448, 113, 0, 0, 0], [0, 0, 554, 0, 0, 289, 157, 0, 0, 0], [1, 0, 477, 0, 0, 435, 87, 0, 0, 0], [0, 0, 510, 0, 0, 305, 185, 0, 0, 0], [0, 0, 841, 0, 0, 115, 44, 0, 0, 0], [1, 0, 693, 0, 0, 186, 120, 0, 0, 0]]"
1,1,10,1,0.10816,0.1081,"[[108, 0, 0, 0, 0, 892, 0, 0, 0, 0], [145, 0, 0, 0, 0, 855, 0, 0, 0, 0], [39, 0, 0, 0, 0, 961, 0, 0, 0, 0], [44, 0, 1, 0, 0, 955, 0, 0, 0, 0], [33, 0, 0, 0, 0, 967, 0, 0, 0, 0], [27, 0, 0, 0, 0, 973, 0, 0, 0, 0], [32, 0, 0, 0, 0, 968, 0, 0, 0, 0], [84, 0, 0, 0, 0, 916, 0, 0, 0, 0], [212, 1, 0, 0, 0, 787, 0, 0, 0, 0], [256, 1, 0, 0, 0, 743, 0, 0, 0, 0]]"
2,2,10,1,0.12416,0.1212,"[[463, 3, 0, 0, 0, 534, 0, 0, 0, 0], [570, 2, 0, 0, 0, 426, 2, 0, 0, 0], [285, 0, 0, 0, 0, 714, 1, 0, 0, 0], [253, 2, 0, 0, 0, 740, 5, 0, 0, 0], [250, 0, 0, 0, 0, 747, 3, 0, 0, 0], [254, 0, 0, 0, 0, 745, 1, 0, 0, 0], [234, 0, 0, 0, 0, 764, 2, 0, 0, 0], [431, 0, 0, 0, 0, 568, 1, 0, 0, 0], [609, 2, 0, 0, 0, 389, 0, 0, 0, 0], [718, 3, 0, 0, 0, 279, 0, 0, 0, 0]]"
3,3,10,1,0.12946,0.1267,"[[514, 35, 0, 0, 0, 450, 1, 0, 0, 0], [595, 51, 1, 0, 0, 351, 2, 0, 0, 0], [353, 9, 0, 0, 0, 633, 5, 0, 0, 0], [286, 12, 1, 0, 0, 695, 6, 0, 0, 0], [297, 7, 0, 0, 0, 689, 7, 0, 0, 0], [301, 8, 0, 0, 0, 690, 1, 0, 0, 0], [267, 5, 0, 0, 0, 716, 12, 0, 0, 0], [468, 28, 0, 0, 0, 501, 3, 0, 0, 0], [623, 66, 0, 0, 0, 311, 0, 0, 0, 0], [707, 80, 0, 0, 0, 210, 3, 0, 0, 0]]"
4,4,10,1,0.13494,0.1333,"[[503, 71, 0, 0, 0, 422, 4, 0, 0, 0], [550, 105, 1, 0, 0, 331, 13, 0, 0, 0], [349, 22, 0, 0, 0, 616, 13, 0, 0, 0], [264, 28, 1, 0, 0, 689, 18, 0, 0, 0], [276, 26, 0, 0, 0, 682, 16, 0, 0, 0], [280, 17, 0, 0, 0, 696, 7, 0, 0, 0], [258, 9, 0, 0, 0, 704, 29, 0, 0, 0], [441, 62, 0, 0, 0, 490, 7, 0, 0, 0], [565, 141, 0, 0, 0, 294, 0, 0, 0, 0], [624, 171, 0, 0, 0, 197, 8, 0, 0, 0]]"
5,5,10,1,0.1632,0.1625,"[[494, 207, 2, 0, 0, 280, 17, 0, 0, 0], [347, 322, 1, 0, 0, 279, 51, 0, 0, 0], [298, 92, 2, 0, 0, 524, 84, 0, 0, 0], [196, 91, 5, 0, 0, 636, 72, 0, 0, 0], [194, 85, 1, 0, 0, 582, 138, 0, 0, 0], [234, 66, 3, 0, 0, 641, 56, 0, 0, 0], [182, 58, 1, 0, 0, 593, 166, 0, 0, 0], [250, 246, 2, 0, 0, 442, 60, 0, 0, 0], [346, 419, 0, 0, 0, 229, 6, 0, 0, 0], [311, 485, 1, 0, 0, 165, 38, 0, 0, 0]]"
6,6,10,1,0.1944,0.1947,"[[567, 188, 1, 0, 0, 191, 53, 0, 0, 0], [375, 227, 9, 0, 0, 236, 153, 0, 0, 0], [211, 59, 4, 0, 0, 410, 316, 0, 0, 0], [129, 47, 1, 0, 0, 582, 241, 0, 0, 0], [109, 55, 1, 0, 0, 385, 450, 0, 0, 0], [127, 32, 4, 0, 0, 613, 224, 0, 0, 0], [63, 20, 0, 0, 0, 380, 536, 1, 0, 0], [161, 175, 6, 0, 0, 366, 292, 0, 0, 0], [440, 355, 2, 0, 0, 171, 32, 0, 0, 0], [312, 406, 4, 0, 0, 133, 144, 1, 0, 0]]"
7,7,10,1,0.20588,0.208,"[[650, 114, 8, 0, 0, 163, 62, 3, 0, 0], [446, 126, 25, 0, 0, 215, 176, 12, 0, 0], [211, 33, 15, 0, 0, 328, 408, 5, 0, 0], [104, 16, 18, 0, 0, 473, 383, 6, 0, 0], [111, 22, 12, 0, 0, 239, 605, 11, 0, 0], [110, 12, 16, 0, 0, 528, 331, 3, 0, 0], [39, 5, 10, 0, 0, 226, 717, 3, 0, 0], [138, 84, 14, 0, 0, 314, 406, 44, 0, 0], [593, 202, 10, 0, 0, 152, 38, 5, 0, 0], [403, 221, 16, 0, 0, 141, 187, 32, 0, 0]]"
8,8,10,1,0.21262,0.2222,"[[642, 114, 3, 0, 0, 104, 63, 17, 57, 0], [400, 180, 3, 0, 0, 172, 169, 41, 35, 0], [217, 43, 13, 0, 0, 254, 441, 22, 10, 0], [119, 34, 12, 0, 0, 385, 432, 16, 2, 0], [117, 25, 2, 0, 0, 181, 636, 29, 10, 0], [134, 33, 7, 0, 0, 428, 382, 12, 4, 0], [36, 17, 9, 0, 0, 167, 759, 11, 1, 0], [98, 103, 5, 0, 0, 244, 398, 120, 32, 0], [539, 203, 1, 0, 0, 114, 39, 24, 80, 0], [298, 229, 3, 0, 0, 104, 161, 108, 97, 0]]"
9,9,10,1,0.21932,0.2254,"[[679, 98, 1, 0, 0, 119, 60, 38, 5, 0], [430, 151, 1, 0, 0, 203, 145, 65, 5, 0], [213, 29, 8, 0, 0, 291, 418, 39, 2, 0], [106, 16, 10, 0, 0, 428, 394, 46, 0, 0], [115, 19, 5, 0, 0, 199, 615, 46, 1, 0], [121, 23, 5, 0, 0, 465, 365, 21, 0, 0], [35, 9, 6, 0, 0, 191, 741, 18, 0, 0], [98, 84, 3, 0, 0, 271, 340, 201, 3, 0], [635, 153, 2, 0, 0, 119, 30, 52, 9, 0], [387, 163, 4, 0, 0, 116, 140, 179, 11, 0]]"
