,Round,Epoch,Train Accuracy,Test Accuracy,Confusion Matrix
0,0,1,0.15168,0.154,"[[903, 17, 0, 1, 3, 64, 0, 5, 0, 7], [649, 99, 0, 8, 12, 178, 0, 20, 0, 34], [538, 77, 0, 29, 5, 336, 0, 13, 0, 2], [434, 84, 0, 35, 10, 414, 1, 16, 0, 6], [369, 83, 0, 41, 19, 451, 0, 33, 0, 4], [455, 79, 0, 20, 10, 410, 1, 15, 0, 10], [253, 80, 0, 33, 38, 544, 0, 49, 0, 3], [489, 111, 0, 18, 17, 305, 0, 30, 0, 30], [881, 19, 0, 2, 1, 89, 0, 2, 0, 6], [770, 59, 0, 2, 6, 101, 1, 17, 0, 44]]"
1,1,1,0.2404,0.2567,"[[520, 18, 0, 72, 0, 10, 52, 26, 189, 113], [108, 97, 0, 158, 0, 19, 155, 58, 294, 111], [156, 24, 0, 230, 0, 23, 422, 50, 38, 57], [80, 25, 0, 330, 0, 25, 381, 75, 31, 53], [67, 11, 0, 166, 0, 4, 616, 55, 33, 48], [63, 26, 0, 345, 0, 41, 377, 46, 62, 40], [23, 7, 0, 139, 0, 12, 736, 54, 5, 24], [51, 41, 0, 189, 2, 27, 332, 170, 43, 145], [301, 21, 0, 98, 0, 4, 24, 31, 365, 156], [99, 34, 0, 77, 0, 4, 135, 98, 245, 308]]"
2,2,1,0.27766,0.2967,"[[433, 34, 7, 32, 7, 73, 46, 94, 94, 180], [61, 237, 0, 15, 9, 146, 122, 93, 120, 197], [113, 36, 5, 52, 109, 152, 347, 134, 12, 40], [35, 19, 1, 63, 69, 259, 334, 166, 6, 48], [44, 8, 1, 36, 178, 104, 454, 116, 12, 47], [25, 22, 1, 45, 78, 334, 329, 131, 8, 27], [9, 6, 1, 16, 67, 79, 688, 115, 1, 18], [24, 29, 1, 28, 114, 131, 206, 369, 8, 90], [224, 50, 0, 16, 2, 99, 20, 71, 228, 290], [44, 73, 1, 15, 7, 68, 114, 147, 99, 432]]"
3,3,1,0.29428,0.3142,"[[492, 60, 1, 10, 7, 26, 19, 18, 319, 48], [57, 365, 1, 8, 5, 39, 32, 18, 305, 170], [200, 86, 6, 54, 123, 166, 157, 88, 80, 40], [115, 89, 5, 123, 41, 239, 145, 79, 86, 78], [103, 28, 3, 68, 215, 129, 245, 102, 66, 41], [93, 104, 2, 81, 38, 296, 149, 77, 109, 51], [40, 47, 2, 63, 83, 158, 451, 53, 41, 62], [83, 109, 2, 60, 59, 112, 85, 264, 70, 156], [221, 69, 0, 6, 1, 29, 5, 7, 579, 83], [45, 116, 0, 30, 2, 15, 29, 24, 388, 351]]"
4,4,1,0.32424,0.3527,"[[488, 34, 45, 14, 30, 17, 36, 141, 103, 92], [57, 363, 7, 8, 16, 63, 66, 81, 72, 267], [78, 32, 81, 32, 309, 50, 233, 135, 23, 27], [23, 24, 37, 50, 162, 139, 328, 187, 10, 40], [37, 10, 32, 20, 467, 30, 245, 120, 15, 24], [15, 13, 36, 50, 211, 200, 297, 138, 18, 22], [4, 4, 11, 10, 244, 27, 583, 90, 3, 24], [16, 17, 27, 21, 188, 62, 124, 489, 7, 49], [235, 54, 19, 16, 10, 38, 30, 69, 319, 210], [34, 110, 7, 19, 13, 28, 83, 135, 84, 487]]"
5,5,1,0.37234,0.4062,"[[522, 62, 37, 23, 15, 17, 25, 55, 173, 71], [54, 505, 1, 23, 4, 24, 37, 42, 108, 202], [83, 41, 116, 87, 210, 67, 214, 128, 30, 24], [32, 36, 35, 218, 48, 146, 244, 154, 27, 60], [48, 16, 39, 79, 358, 30, 259, 113, 29, 29], [18, 26, 33, 182, 81, 266, 202, 145, 24, 23], [3, 11, 29, 74, 132, 38, 584, 84, 12, 33], [27, 43, 20, 66, 78, 69, 91, 507, 16, 83], [214, 86, 8, 29, 6, 12, 18, 16, 496, 115], [36, 160, 5, 42, 7, 16, 51, 50, 143, 490]]"
6,6,1,0.38396,0.413,"[[457, 176, 11, 17, 9, 7, 17, 34, 206, 66], [9, 748, 0, 16, 3, 9, 17, 15, 49, 134], [113, 87, 116, 102, 144, 86, 139, 127, 45, 41], [43, 96, 21, 221, 21, 224, 128, 120, 31, 95], [64, 56, 62, 77, 268, 60, 189, 155, 40, 29], [25, 75, 30, 172, 28, 365, 86, 137, 38, 44], [10, 47, 46, 94, 95, 67, 477, 69, 28, 67], [34, 108, 17, 80, 36, 70, 46, 477, 14, 118], [127, 208, 3, 10, 3, 6, 8, 7, 522, 106], [15, 307, 2, 23, 2, 9, 27, 36, 100, 479]]"
7,7,1,0.41502,0.4563,"[[487, 75, 41, 16, 11, 15, 20, 29, 227, 79], [24, 674, 4, 11, 4, 13, 20, 20, 67, 163], [84, 37, 273, 77, 104, 116, 142, 89, 38, 40], [31, 38, 64, 246, 30, 258, 128, 98, 31, 76], [55, 26, 124, 69, 280, 63, 189, 132, 36, 26], [19, 34, 70, 150, 28, 437, 81, 113, 33, 35], [4, 18, 84, 103, 83, 65, 527, 56, 24, 36], [27, 44, 40, 80, 44, 110, 42, 514, 14, 85], [105, 123, 8, 11, 5, 8, 9, 11, 610, 110], [31, 214, 5, 26, 8, 13, 33, 36, 119, 515]]"
8,8,1,0.42386,0.4585,"[[483, 71, 34, 17, 25, 5, 20, 19, 265, 61], [17, 647, 3, 13, 3, 3, 15, 13, 125, 161], [97, 41, 297, 72, 130, 69, 131, 87, 38, 38], [41, 43, 80, 230, 39, 204, 161, 102, 33, 67], [62, 31, 127, 65, 319, 31, 173, 131, 41, 20], [21, 39, 97, 163, 41, 348, 81, 138, 40, 32], [3, 23, 90, 69, 104, 34, 567, 45, 25, 40], [31, 46, 47, 78, 61, 66, 39, 529, 17, 86], [108, 94, 10, 6, 5, 8, 13, 7, 671, 78], [26, 198, 6, 28, 6, 9, 27, 30, 176, 494]]"
9,9,1,0.43534,0.4749,"[[487, 59, 65, 24, 22, 5, 32, 21, 210, 75], [35, 666, 4, 10, 3, 4, 16, 17, 82, 163], [73, 28, 275, 61, 129, 65, 214, 85, 32, 38], [22, 33, 64, 253, 40, 145, 248, 108, 18, 69], [51, 26, 106, 43, 298, 21, 275, 131, 29, 20], [13, 23, 86, 180, 40, 320, 159, 122, 24, 33], [2, 19, 61, 39, 73, 15, 704, 35, 10, 42], [24, 19, 42, 52, 53, 67, 84, 575, 14, 70], [123, 98, 12, 14, 6, 6, 18, 11, 628, 84], [31, 198, 8, 16, 4, 11, 34, 34, 121, 543]]"
