,Round,Daisy,Epoch,Test Accuracy,Confusion Matrix
0,0,10,10,0.2509,"[[0, 15, 0, 203, 0, 0, 0, 0, 762, 0], [0, 1061, 0, 2, 0, 0, 0, 0, 72, 0], [0, 244, 0, 209, 0, 0, 0, 2, 577, 0], [0, 69, 0, 558, 0, 0, 0, 0, 383, 0], [0, 84, 0, 3, 0, 0, 0, 0, 889, 6], [0, 127, 0, 68, 0, 0, 0, 1, 696, 0], [0, 172, 0, 61, 0, 0, 0, 2, 723, 0], [0, 392, 0, 18, 0, 0, 0, 5, 611, 2], [0, 59, 0, 33, 0, 0, 0, 0, 882, 0], [0, 93, 0, 29, 0, 0, 0, 0, 884, 3]]"
1,1,10,10,0.4422,"[[527, 0, 0, 263, 0, 0, 0, 1, 175, 14], [0, 1031, 0, 4, 0, 0, 0, 0, 100, 0], [0, 87, 145, 319, 0, 0, 0, 33, 427, 21], [0, 20, 0, 729, 0, 0, 0, 8, 239, 14], [0, 3, 0, 3, 0, 0, 0, 4, 398, 574], [0, 17, 0, 261, 0, 0, 0, 1, 548, 65], [2, 18, 0, 186, 31, 0, 0, 1, 642, 78], [0, 58, 0, 9, 0, 0, 0, 560, 211, 190], [2, 16, 0, 40, 0, 0, 0, 10, 883, 23], [2, 12, 0, 7, 0, 0, 0, 13, 428, 547]]"
2,2,10,10,0.791,"[[933, 0, 6, 12, 6, 7, 11, 1, 3, 1], [0, 1099, 8, 7, 0, 0, 3, 1, 16, 1], [13, 34, 828, 46, 25, 1, 59, 17, 7, 2], [1, 23, 37, 844, 0, 30, 5, 36, 23, 11], [1, 3, 2, 0, 753, 0, 43, 3, 6, 171], [53, 11, 7, 106, 35, 465, 58, 1, 140, 16], [17, 6, 12, 1, 25, 9, 883, 1, 3, 1], [2, 43, 22, 8, 6, 0, 1, 884, 3, 59], [33, 51, 16, 65, 35, 100, 67, 45, 517, 45], [14, 10, 1, 10, 151, 5, 6, 96, 12, 704]]"
3,3,10,10,0.8617,"[[949, 0, 1, 5, 5, 7, 8, 1, 3, 1], [0, 1110, 3, 6, 0, 0, 3, 0, 11, 2], [15, 15, 889, 19, 32, 0, 22, 17, 19, 4], [3, 16, 29, 870, 0, 29, 2, 15, 37, 9], [1, 2, 2, 0, 820, 0, 33, 1, 5, 118], [26, 6, 6, 52, 21, 698, 29, 1, 40, 13], [13, 5, 11, 2, 26, 31, 868, 1, 1, 0], [3, 30, 20, 2, 7, 0, 0, 882, 3, 81], [27, 33, 4, 42, 18, 75, 24, 19, 706, 26], [16, 8, 3, 10, 92, 4, 1, 32, 18, 825]]"
4,4,10,10,0.887,"[[950, 0, 1, 5, 5, 4, 11, 1, 2, 1], [0, 1113, 3, 6, 0, 1, 3, 0, 8, 1], [12, 9, 887, 27, 30, 0, 25, 21, 19, 2], [2, 8, 16, 925, 2, 14, 3, 13, 21, 6], [1, 1, 1, 0, 890, 0, 22, 2, 5, 60], [25, 2, 3, 52, 16, 747, 29, 1, 8, 9], [11, 3, 4, 2, 21, 23, 893, 1, 0, 0], [1, 24, 23, 3, 8, 0, 0, 934, 2, 33], [24, 26, 1, 69, 18, 74, 21, 14, 707, 20], [17, 6, 4, 10, 93, 9, 0, 34, 12, 824]]"
5,5,10,10,0.9058,"[[952, 0, 0, 3, 3, 3, 13, 1, 4, 1], [0, 1121, 4, 2, 0, 0, 3, 0, 4, 1], [12, 8, 898, 22, 26, 0, 23, 25, 16, 2], [2, 10, 11, 923, 2, 10, 3, 14, 27, 8], [1, 2, 1, 0, 918, 0, 17, 1, 5, 37], [21, 4, 2, 40, 16, 750, 24, 1, 21, 13], [11, 5, 3, 0, 22, 21, 895, 0, 1, 0], [1, 22, 23, 3, 7, 0, 0, 948, 2, 22], [16, 22, 3, 37, 16, 29, 15, 9, 813, 14], [14, 10, 3, 13, 78, 3, 0, 32, 16, 840]]"
6,6,10,10,0.9175,"[[961, 0, 0, 1, 2, 1, 8, 1, 5, 1], [0, 1120, 5, 2, 0, 0, 3, 0, 4, 1], [10, 8, 935, 16, 16, 0, 13, 22, 11, 1], [2, 3, 20, 941, 1, 8, 1, 12, 15, 7], [1, 1, 3, 0, 907, 0, 16, 1, 4, 49], [27, 2, 3, 42, 11, 759, 17, 1, 22, 8], [12, 4, 4, 0, 13, 23, 898, 0, 4, 0], [3, 19, 25, 4, 4, 0, 0, 949, 1, 23], [15, 20, 3, 44, 13, 21, 11, 9, 824, 14], [17, 9, 4, 15, 39, 2, 0, 29, 13, 881]]"
7,7,10,10,0.9245,"[[950, 0, 1, 1, 3, 1, 14, 1, 8, 1], [0, 1120, 4, 2, 0, 0, 3, 1, 5, 0], [7, 10, 929, 16, 21, 0, 12, 23, 13, 1], [1, 3, 14, 936, 1, 12, 1, 13, 19, 10], [1, 1, 3, 0, 898, 0, 16, 1, 4, 58], [16, 2, 3, 37, 7, 779, 12, 1, 24, 11], [9, 4, 2, 0, 9, 23, 906, 0, 5, 0], [3, 17, 24, 2, 4, 0, 0, 954, 2, 22], [10, 12, 3, 24, 7, 15, 10, 9, 874, 10], [15, 8, 3, 11, 26, 3, 0, 26, 18, 899]]"
8,8,10,10,0.9242,"[[959, 1, 0, 1, 3, 2, 10, 2, 2, 0], [0, 1121, 4, 2, 0, 0, 3, 1, 4, 0], [12, 8, 930, 16, 19, 0, 11, 25, 10, 1], [3, 2, 15, 943, 0, 11, 1, 13, 11, 11], [1, 1, 2, 0, 889, 0, 14, 1, 4, 70], [18, 2, 1, 40, 2, 792, 12, 1, 11, 13], [12, 3, 1, 0, 9, 25, 907, 0, 1, 0], [4, 13, 24, 2, 3, 0, 0, 958, 1, 23], [15, 20, 2, 37, 6, 26, 12, 11, 826, 19], [16, 8, 3, 12, 18, 5, 0, 24, 6, 917]]"
9,9,10,10,0.9332,"[[956, 0, 0, 0, 3, 1, 12, 2, 6, 0], [0, 1117, 5, 2, 0, 0, 3, 0, 8, 0], [9, 4, 947, 12, 15, 0, 11, 25, 8, 1], [3, 2, 22, 936, 0, 12, 1, 11, 12, 11], [1, 0, 3, 0, 915, 0, 15, 2, 4, 42], [16, 1, 3, 33, 5, 797, 14, 1, 13, 9], [10, 2, 1, 0, 9, 21, 912, 0, 3, 0], [5, 9, 27, 3, 4, 0, 0, 955, 2, 23], [11, 4, 6, 20, 7, 12, 9, 9, 884, 12], [15, 8, 4, 11, 25, 5, 0, 20, 8, 913]]"
10,10,10,10,0.9349,"[[958, 0, 0, 0, 4, 0, 10, 1, 7, 0], [0, 1119, 5, 1, 0, 0, 3, 0, 7, 0], [8, 4, 948, 10, 21, 0, 6, 26, 8, 1], [2, 3, 22, 933, 0, 13, 1, 14, 11, 11], [1, 0, 2, 0, 918, 0, 11, 2, 4, 44], [18, 3, 1, 31, 5, 795, 15, 1, 12, 11], [10, 2, 1, 0, 9, 17, 916, 0, 3, 0], [5, 9, 26, 2, 4, 0, 0, 966, 1, 15], [11, 5, 5, 21, 8, 8, 10, 11, 884, 11], [14, 8, 4, 11, 23, 3, 0, 25, 9, 912]]"
11,11,10,10,0.9395,"[[965, 0, 0, 0, 2, 0, 5, 1, 7, 0], [0, 1115, 5, 2, 0, 1, 2, 0, 10, 0], [9, 1, 957, 10, 16, 0, 6, 25, 7, 1], [1, 1, 23, 941, 0, 12, 0, 12, 10, 10], [1, 0, 2, 0, 915, 0, 11, 2, 4, 47], [13, 1, 1, 31, 3, 811, 9, 1, 13, 9], [11, 2, 2, 0, 9, 18, 913, 0, 3, 0], [4, 8, 29, 3, 4, 0, 0, 962, 2, 16], [9, 3, 6, 20, 7, 8, 7, 7, 897, 10], [14, 7, 3, 11, 21, 6, 0, 18, 10, 919]]"
12,12,10,10,0.9408,"[[962, 0, 0, 0, 4, 0, 5, 2, 7, 0], [0, 1117, 5, 1, 0, 1, 2, 0, 9, 0], [8, 2, 953, 12, 16, 0, 6, 27, 7, 1], [1, 1, 21, 950, 0, 6, 0, 15, 9, 7], [1, 0, 2, 0, 928, 0, 12, 2, 3, 34], [11, 2, 1, 39, 2, 805, 9, 2, 12, 9], [10, 2, 2, 0, 9, 18, 914, 0, 3, 0], [4, 6, 24, 4, 4, 0, 0, 978, 1, 7], [9, 3, 6, 18, 7, 8, 7, 11, 896, 9], [12, 7, 3, 14, 28, 4, 0, 27, 9, 905]]"
13,13,10,10,0.9422,"[[966, 0, 0, 0, 2, 0, 4, 1, 7, 0], [0, 1118, 5, 1, 0, 1, 2, 0, 8, 0], [9, 3, 946, 13, 16, 0, 5, 28, 11, 1], [1, 0, 18, 960, 0, 5, 0, 12, 8, 6], [1, 0, 2, 0, 909, 0, 9, 2, 4, 55], [13, 2, 0, 35, 2, 811, 9, 1, 10, 9], [12, 3, 1, 0, 10, 19, 910, 0, 3, 0], [4, 6, 21, 4, 3, 0, 0, 981, 1, 8], [11, 3, 4, 22, 5, 7, 7, 9, 896, 10], [10, 8, 2, 16, 16, 2, 0, 20, 10, 925]]"
14,14,10,10,0.9448,"[[963, 0, 0, 0, 4, 0, 5, 1, 7, 0], [0, 1114, 5, 1, 0, 1, 2, 0, 12, 0], [8, 2, 955, 8, 15, 0, 5, 28, 11, 0], [1, 0, 21, 946, 0, 12, 0, 16, 9, 5], [1, 0, 2, 0, 921, 0, 9, 2, 4, 43], [11, 2, 1, 29, 1, 816, 7, 1, 16, 8], [9, 2, 2, 0, 10, 17, 915, 0, 3, 0], [4, 6, 22, 3, 3, 0, 0, 980, 3, 7], [7, 2, 3, 13, 3, 8, 6, 7, 919, 6], [10, 7, 2, 14, 18, 3, 0, 24, 12, 919]]"
15,15,10,10,0.9463,"[[964, 0, 0, 0, 3, 0, 5, 1, 7, 0], [0, 1114, 5, 1, 0, 1, 2, 0, 12, 0], [7, 3, 958, 9, 15, 1, 5, 25, 9, 0], [1, 0, 19, 959, 0, 8, 0, 10, 9, 4], [1, 0, 2, 0, 921, 0, 11, 2, 3, 42], [11, 2, 0, 30, 1, 820, 8, 1, 11, 8], [9, 2, 2, 0, 8, 16, 918, 0, 3, 0], [4, 7, 24, 3, 3, 0, 0, 976, 4, 7], [7, 2, 4, 15, 3, 8, 9, 6, 915, 5], [10, 8, 2, 15, 20, 4, 0, 21, 11, 918]]"
16,16,10,10,0.9479,"[[962, 1, 0, 0, 4, 0, 5, 2, 6, 0], [0, 1117, 5, 1, 0, 1, 2, 0, 9, 0], [7, 4, 951, 11, 16, 0, 5, 27, 10, 1], [1, 1, 15, 961, 0, 6, 0, 11, 10, 5], [1, 0, 2, 0, 924, 0, 8, 1, 5, 41], [9, 2, 0, 33, 0, 817, 8, 1, 12, 10], [9, 3, 1, 0, 9, 12, 921, 0, 3, 0], [3, 6, 20, 4, 3, 0, 0, 979, 4, 9], [7, 3, 4, 16, 2, 5, 5, 6, 921, 5], [10, 8, 1, 14, 18, 2, 0, 18, 12, 926]]"
17,17,10,10,0.9476,"[[959, 1, 1, 0, 4, 0, 7, 2, 6, 0], [0, 1116, 5, 1, 0, 1, 2, 0, 10, 0], [7, 4, 958, 7, 15, 1, 5, 27, 8, 0], [1, 0, 17, 966, 0, 3, 0, 10, 9, 4], [0, 0, 2, 0, 927, 0, 8, 1, 3, 41], [10, 2, 1, 38, 0, 808, 9, 1, 12, 11], [8, 2, 2, 0, 9, 13, 921, 0, 3, 0], [3, 6, 20, 4, 3, 0, 0, 979, 3, 10], [7, 3, 4, 18, 2, 5, 7, 8, 913, 7], [9, 8, 1, 15, 19, 3, 0, 15, 10, 929]]"
18,18,10,10,0.9488,"[[962, 0, 1, 0, 4, 0, 4, 2, 7, 0], [0, 1115, 4, 1, 0, 1, 2, 0, 12, 0], [7, 4, 957, 8, 14, 1, 5, 28, 8, 0], [1, 0, 14, 965, 0, 4, 0, 12, 9, 5], [0, 0, 2, 0, 922, 0, 7, 1, 5, 45], [9, 2, 0, 31, 0, 814, 7, 1, 17, 11], [9, 3, 1, 0, 10, 16, 915, 0, 4, 0], [3, 6, 18, 5, 2, 0, 0, 980, 3, 11], [7, 2, 4, 12, 2, 5, 4, 8, 923, 7], [9, 8, 1, 14, 16, 2, 0, 13, 11, 935]]"
19,19,10,10,0.947,"[[964, 1, 1, 0, 4, 0, 4, 1, 5, 0], [0, 1117, 5, 1, 0, 1, 2, 0, 9, 0], [7, 3, 958, 7, 14, 1, 5, 29, 8, 0], [1, 0, 17, 958, 0, 8, 0, 15, 8, 3], [1, 0, 2, 0, 924, 0, 10, 4, 2, 39], [10, 2, 1, 29, 1, 819, 8, 1, 12, 9], [9, 2, 2, 0, 7, 10, 925, 0, 3, 0], [3, 6, 20, 4, 3, 0, 0, 985, 2, 5], [9, 3, 6, 15, 3, 6, 9, 12, 908, 3], [11, 7, 0, 14, 22, 4, 0, 29, 10, 912]]"
20,20,10,10,0.9474,"[[963, 1, 1, 0, 4, 0, 4, 2, 5, 0], [0, 1120, 4, 1, 0, 1, 2, 0, 7, 0], [7, 4, 960, 7, 13, 1, 5, 27, 8, 0], [1, 0, 17, 960, 0, 7, 0, 14, 8, 3], [1, 0, 2, 0, 941, 0, 8, 4, 2, 24], [10, 2, 1, 29, 2, 819, 7, 1, 13, 8], [10, 2, 3, 0, 9, 10, 921, 0, 3, 0], [4, 6, 21, 4, 3, 0, 0, 983, 3, 4], [8, 3, 6, 17, 3, 6, 10, 13, 905, 3], [11, 9, 2, 16, 25, 4, 0, 31, 9, 902]]"
