,Round,Epoch,Train Accuracy,Test Accuracy,Confusion Matrix
0,0,10,0.10024,0.1002,"[[4, 0, 0, 0, 0, 0, 0, 996, 0, 0], [3, 0, 0, 0, 0, 0, 0, 997, 0, 0], [0, 0, 0, 0, 0, 1, 0, 999, 0, 0], [1, 0, 0, 0, 0, 0, 0, 999, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [1, 0, 0, 0, 0, 0, 0, 999, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [1, 0, 0, 0, 0, 1, 0, 998, 0, 0], [3, 0, 0, 0, 0, 1, 0, 996, 0, 0], [7, 0, 0, 0, 0, 0, 0, 993, 0, 0]]"
1,1,10,0.10122,0.1016,"[[14, 0, 0, 0, 0, 7, 0, 979, 0, 0], [10, 0, 0, 0, 0, 10, 0, 980, 0, 0], [5, 0, 0, 0, 0, 4, 0, 991, 0, 0], [6, 0, 0, 0, 0, 0, 0, 994, 0, 0], [2, 0, 0, 0, 0, 1, 0, 997, 0, 0], [8, 0, 0, 0, 0, 7, 0, 985, 0, 0], [2, 0, 0, 0, 0, 5, 0, 993, 0, 0], [3, 0, 0, 0, 0, 2, 0, 995, 0, 0], [18, 0, 0, 0, 0, 4, 0, 978, 0, 0], [14, 0, 0, 0, 0, 0, 0, 986, 0, 0]]"
2,2,10,0.10386,0.1057,"[[26, 0, 0, 0, 0, 60, 0, 914, 0, 0], [31, 0, 0, 0, 0, 24, 0, 945, 0, 0], [15, 0, 0, 0, 0, 28, 0, 957, 0, 0], [8, 0, 0, 0, 0, 31, 0, 961, 0, 0], [4, 0, 0, 0, 0, 12, 0, 984, 0, 0], [24, 0, 0, 0, 0, 59, 0, 917, 0, 0], [8, 0, 0, 0, 0, 21, 0, 971, 0, 0], [10, 0, 0, 0, 0, 18, 0, 972, 0, 0], [46, 0, 0, 0, 0, 58, 0, 896, 0, 0], [33, 0, 0, 0, 0, 23, 0, 944, 0, 0]]"
3,3,10,0.10912,0.1112,"[[57, 0, 0, 0, 0, 189, 0, 754, 0, 0], [56, 0, 0, 0, 0, 125, 0, 819, 0, 0], [22, 0, 0, 0, 0, 131, 0, 847, 0, 0], [15, 0, 0, 0, 0, 153, 0, 832, 0, 0], [6, 0, 0, 0, 0, 84, 0, 910, 0, 0], [35, 0, 0, 0, 0, 192, 0, 773, 0, 0], [12, 0, 0, 0, 0, 111, 0, 877, 0, 0], [29, 0, 0, 0, 0, 108, 0, 863, 0, 0], [87, 0, 0, 0, 0, 209, 0, 704, 0, 0], [49, 0, 0, 0, 0, 117, 0, 834, 0, 0]]"
4,4,10,0.11414,0.1199,"[[97, 0, 0, 0, 0, 412, 0, 491, 0, 0], [77, 0, 0, 0, 0, 317, 0, 606, 0, 0], [29, 0, 0, 0, 0, 336, 0, 635, 0, 0], [18, 0, 0, 0, 0, 387, 0, 595, 0, 0], [10, 0, 0, 0, 0, 263, 0, 727, 0, 0], [37, 0, 0, 0, 0, 445, 0, 518, 0, 0], [15, 0, 0, 0, 0, 327, 0, 658, 0, 0], [52, 0, 0, 0, 0, 291, 0, 657, 0, 0], [139, 0, 0, 0, 0, 411, 0, 450, 0, 0], [80, 0, 0, 0, 0, 274, 0, 646, 0, 0]]"
5,5,10,0.11466,0.1171,"[[102, 0, 0, 0, 0, 656, 0, 242, 0, 0], [75, 0, 0, 0, 0, 542, 0, 383, 0, 0], [30, 0, 0, 0, 0, 595, 0, 375, 0, 0], [20, 0, 0, 0, 0, 618, 0, 362, 0, 0], [16, 0, 0, 0, 0, 552, 0, 432, 0, 0], [41, 0, 0, 0, 0, 679, 0, 280, 0, 0], [23, 0, 0, 0, 0, 600, 0, 377, 0, 0], [53, 0, 0, 0, 0, 557, 0, 390, 0, 0], [140, 0, 0, 0, 0, 614, 0, 246, 0, 0], [101, 0, 0, 0, 0, 478, 0, 421, 0, 0]]"
6,6,10,0.11286,0.1141,"[[121, 0, 0, 0, 0, 793, 0, 86, 0, 0], [103, 0, 0, 0, 0, 699, 0, 198, 0, 0], [38, 0, 0, 0, 0, 794, 0, 168, 0, 0], [34, 0, 0, 0, 0, 791, 0, 175, 0, 0], [20, 0, 0, 0, 0, 762, 0, 218, 0, 0], [42, 0, 0, 0, 0, 836, 0, 122, 0, 0], [23, 0, 0, 0, 0, 828, 0, 149, 0, 0], [66, 0, 0, 0, 0, 750, 0, 184, 0, 0], [167, 0, 0, 0, 0, 742, 0, 91, 0, 0], [122, 0, 0, 0, 0, 660, 0, 218, 0, 0]]"
7,7,10,0.11158,0.1109,"[[141, 0, 0, 0, 0, 834, 0, 25, 0, 0], [130, 0, 0, 0, 0, 788, 0, 82, 0, 0], [40, 0, 0, 0, 0, 890, 1, 69, 0, 0], [39, 0, 0, 0, 0, 870, 0, 91, 0, 0], [24, 0, 0, 0, 0, 893, 0, 83, 0, 0], [40, 0, 0, 0, 0, 908, 0, 52, 0, 0], [20, 0, 0, 0, 0, 931, 0, 49, 0, 0], [73, 0, 0, 0, 0, 867, 0, 60, 0, 0], [194, 0, 0, 0, 0, 781, 0, 25, 0, 0], [133, 0, 0, 0, 0, 773, 0, 94, 0, 0]]"
8,8,10,0.11032,0.1101,"[[156, 0, 0, 0, 0, 831, 0, 9, 0, 4], [139, 0, 0, 0, 0, 831, 1, 29, 0, 0], [44, 0, 0, 0, 0, 924, 1, 31, 0, 0], [43, 0, 0, 0, 0, 920, 0, 37, 0, 0], [30, 0, 0, 0, 0, 936, 5, 28, 0, 1], [48, 0, 0, 0, 0, 933, 0, 19, 0, 0], [22, 0, 0, 0, 0, 963, 0, 15, 0, 0], [83, 0, 0, 0, 0, 906, 0, 11, 0, 0], [206, 0, 0, 0, 0, 785, 0, 8, 0, 1], [140, 0, 0, 0, 0, 835, 0, 24, 0, 1]]"
9,9,10,0.11446,0.1146,"[[143, 0, 0, 0, 0, 747, 0, 4, 0, 106], [135, 0, 0, 0, 0, 802, 1, 6, 0, 56], [50, 0, 0, 0, 0, 912, 2, 11, 0, 25], [39, 0, 0, 0, 0, 923, 6, 7, 0, 25], [35, 0, 0, 0, 0, 946, 6, 5, 0, 8], [53, 0, 0, 0, 0, 925, 1, 6, 0, 15], [22, 0, 0, 0, 0, 964, 1, 4, 0, 9], [83, 0, 0, 0, 0, 881, 1, 1, 0, 34], [199, 0, 0, 0, 0, 733, 0, 3, 0, 65], [136, 0, 0, 0, 0, 782, 0, 6, 0, 76]]"
