,Round,Test Accuracy,Confusion Matrix
0,0,0.4171,"[[387, 120, 5, 24, 24, 1, 29, 79, 174, 157], [8, 721, 0, 12, 0, 0, 25, 30, 23, 181], [82, 47, 29, 116, 261, 28, 211, 158, 36, 32], [25, 42, 5, 291, 89, 31, 262, 176, 21, 58], [36, 28, 3, 76, 355, 7, 268, 183, 15, 29], [17, 33, 8, 292, 110, 111, 174, 210, 20, 25], [3, 18, 1, 87, 109, 4, 636, 104, 4, 34], [22, 38, 2, 66, 87, 27, 72, 610, 9, 67], [69, 180, 0, 28, 5, 3, 15, 28, 457, 215], [6, 270, 1, 17, 4, 0, 42, 51, 35, 574]]"
1,1,0.5487,"[[604, 44, 51, 5, 13, 11, 21, 18, 165, 68], [32, 725, 8, 7, 3, 7, 10, 12, 68, 128], [93, 26, 426, 55, 110, 84, 103, 46, 31, 26], [31, 26, 78, 311, 45, 207, 171, 62, 27, 42], [60, 14, 150, 55, 356, 43, 136, 135, 41, 10], [17, 11, 86, 186, 47, 443, 84, 90, 19, 17], [12, 24, 61, 56, 86, 30, 674, 24, 16, 17], [34, 8, 40, 50, 62, 94, 34, 625, 12, 41], [100, 67, 12, 10, 5, 13, 7, 7, 745, 34], [38, 212, 14, 22, 2, 7, 17, 23, 87, 578]]"
2,2,0.5942,"[[548, 56, 29, 16, 31, 15, 22, 26, 156, 101], [11, 759, 2, 6, 3, 6, 16, 13, 28, 156], [66, 23, 351, 60, 146, 105, 147, 44, 32, 26], [14, 23, 43, 359, 61, 224, 178, 46, 19, 33], [22, 10, 57, 46, 509, 64, 155, 100, 27, 10], [6, 14, 46, 154, 73, 529, 83, 66, 14, 15], [4, 14, 34, 52, 47, 29, 785, 14, 9, 12], [13, 13, 17, 58, 84, 111, 26, 649, 4, 25], [48, 81, 8, 18, 3, 12, 14, 5, 748, 63], [19, 164, 7, 25, 5, 10, 22, 12, 31, 705]]"
3,3,0.6233,"[[679, 45, 38, 8, 16, 7, 23, 13, 113, 58], [26, 805, 3, 3, 4, 4, 13, 5, 43, 94], [86, 11, 468, 70, 92, 63, 121, 34, 30, 25], [18, 27, 83, 397, 49, 168, 157, 31, 29, 41], [40, 10, 117, 59, 480, 32, 142, 83, 28, 9], [16, 13, 69, 190, 56, 482, 78, 58, 21, 17], [6, 15, 44, 57, 39, 11, 800, 8, 10, 10], [24, 12, 28, 77, 75, 74, 23, 642, 8, 37], [79, 57, 7, 14, 2, 5, 9, 6, 792, 29], [29, 180, 12, 15, 2, 9, 20, 5, 40, 688]]"
4,4,0.6432,"[[691, 28, 29, 7, 26, 8, 28, 24, 95, 64], [16, 769, 6, 4, 4, 7, 23, 9, 35, 127], [77, 8, 452, 66, 123, 70, 134, 32, 23, 15], [21, 14, 61, 409, 60, 191, 171, 33, 14, 26], [30, 5, 67, 64, 566, 46, 130, 74, 16, 2], [14, 7, 47, 191, 62, 522, 87, 48, 14, 8], [5, 5, 28, 46, 47, 25, 823, 6, 7, 8], [15, 5, 24, 69, 106, 86, 18, 660, 3, 14], [74, 45, 5, 17, 9, 11, 12, 3, 792, 32], [24, 104, 13, 23, 5, 9, 31, 12, 31, 748]]"
5,5,0.6491,"[[647, 27, 49, 7, 27, 9, 26, 23, 125, 60], [22, 782, 2, 7, 7, 7, 9, 10, 42, 112], [65, 10, 497, 64, 123, 51, 113, 33, 28, 16], [14, 12, 82, 432, 76, 148, 148, 36, 26, 26], [29, 3, 88, 60, 595, 24, 103, 75, 20, 3], [14, 6, 52, 205, 77, 473, 84, 51, 23, 15], [5, 12, 43, 53, 56, 17, 792, 5, 8, 9], [13, 4, 34, 62, 112, 63, 16, 674, 5, 17], [58, 30, 4, 15, 8, 5, 7, 6, 846, 21], [21, 105, 7, 14, 9, 5, 19, 13, 54, 753]]"
6,6,0.6589,"[[729, 31, 32, 6, 13, 6, 23, 19, 90, 51], [23, 837, 6, 5, 3, 2, 12, 8, 31, 73], [87, 9, 539, 66, 91, 42, 91, 34, 24, 17], [22, 22, 96, 433, 63, 131, 157, 29, 26, 21], [46, 6, 109, 55, 561, 23, 100, 78, 19, 3], [27, 9, 86, 222, 53, 435, 76, 65, 15, 12], [7, 13, 49, 48, 46, 15, 800, 5, 8, 9], [26, 8, 43, 59, 69, 45, 15, 715, 3, 17], [76, 44, 8, 16, 5, 4, 6, 5, 816, 20], [26, 153, 10, 10, 4, 4, 18, 12, 39, 724]]"
7,7,0.6721,"[[706, 28, 28, 8, 32, 8, 17, 27, 91, 55], [17, 809, 7, 6, 7, 4, 15, 8, 29, 98], [74, 6, 480, 63, 143, 57, 100, 40, 19, 18], [18, 11, 60, 478, 79, 173, 107, 36, 20, 18], [31, 6, 48, 59, 619, 29, 91, 96, 16, 5], [13, 3, 47, 201, 75, 515, 62, 59, 12, 13], [6, 8, 22, 54, 69, 28, 787, 8, 10, 8], [13, 5, 31, 56, 77, 61, 14, 726, 4, 13], [59, 33, 11, 12, 8, 9, 5, 5, 826, 32], [20, 99, 12, 12, 7, 3, 17, 14, 41, 775]]"
8,8,0.6694,"[[713, 52, 26, 21, 21, 15, 15, 27, 60, 50], [13, 843, 6, 10, 2, 5, 12, 9, 17, 83], [81, 8, 478, 71, 93, 114, 84, 44, 14, 13], [18, 17, 42, 434, 49, 284, 88, 45, 9, 14], [29, 8, 66, 68, 544, 69, 86, 116, 12, 2], [14, 6, 30, 166, 43, 645, 38, 44, 5, 9], [4, 6, 26, 77, 33, 55, 775, 11, 4, 9], [17, 8, 19, 47, 50, 100, 9, 738, 1, 11], [67, 58, 7, 26, 10, 15, 5, 5, 771, 36], [19, 128, 8, 23, 6, 9, 7, 21, 26, 753]]"
9,9,0.6835,"[[760, 25, 27, 6, 15, 6, 11, 13, 84, 53], [18, 834, 4, 4, 2, 1, 9, 5, 35, 88], [96, 5, 536, 63, 90, 61, 82, 30, 22, 15], [32, 14, 56, 448, 64, 162, 127, 44, 29, 24], [47, 5, 68, 56, 599, 27, 85, 83, 24, 6], [24, 5, 54, 219, 53, 509, 57, 48, 17, 14], [8, 10, 35, 54, 43, 20, 796, 6, 15, 13], [27, 8, 31, 51, 74, 52, 10, 724, 3, 20], [68, 29, 7, 5, 4, 5, 3, 3, 851, 25], [32, 108, 9, 7, 3, 3, 10, 9, 41, 778]]"
