01-31 17:25 WARNING  Partitioning data
01-31 17:26 WARNING  >>>>>>>>>>>>> in comm round: 0 from 50
01-31 17:31 WARNING  >>>>>>>>>>>>> DAISY chain 0
01-31 17:36 WARNING  >>>>>>>>>>>>> DAISY chain 1
01-31 17:41 WARNING  >>>>>>>>>>>>> DAISY chain 2
01-31 17:45 WARNING  >>>>>>>>>>>>> DAISY chain 3
01-31 17:50 WARNING  >>>>>>>>>>>>> DAISY chain 4
01-31 17:55 WARNING  >>>>>>>>>>>>> DAISY chain 5
01-31 18:00 WARNING  >>>>>>>>>>>>> DAISY chain 6
01-31 18:05 WARNING  >>>>>>>>>>>>> DAISY chain 7
01-31 18:10 WARNING  >>>>>>>>>>>>> DAISY chain 8
01-31 18:14 WARNING  >>>>>>>>>>>>> DAISY chain 9
01-31 18:19 WARNING  >>>>>>>>>>>>> DAISY chain 10
01-31 18:19 WARNING  >>>>>>>>>>>>> in comm round: 1 from 50
01-31 18:24 WARNING  >>>>>>>>>>>>> DAISY chain 0
01-31 18:29 WARNING  >>>>>>>>>>>>> DAISY chain 1
01-31 18:33 WARNING  >>>>>>>>>>>>> DAISY chain 2
01-31 18:38 WARNING  >>>>>>>>>>>>> DAISY chain 3
01-31 18:43 WARNING  >>>>>>>>>>>>> DAISY chain 4
01-31 18:48 WARNING  >>>>>>>>>>>>> DAISY chain 5
01-31 18:53 WARNING  >>>>>>>>>>>>> DAISY chain 6
01-31 18:57 WARNING  >>>>>>>>>>>>> DAISY chain 7
01-31 19:02 WARNING  >>>>>>>>>>>>> DAISY chain 8
01-31 19:07 WARNING  >>>>>>>>>>>>> DAISY chain 9
01-31 19:12 WARNING  >>>>>>>>>>>>> DAISY chain 10
01-31 19:12 WARNING  >>>>>>>>>>>>> in comm round: 2 from 50
01-31 19:17 WARNING  >>>>>>>>>>>>> DAISY chain 0
01-31 19:22 WARNING  >>>>>>>>>>>>> DAISY chain 1
01-31 19:27 WARNING  >>>>>>>>>>>>> DAISY chain 2
01-31 19:31 WARNING  >>>>>>>>>>>>> DAISY chain 3
01-31 19:36 WARNING  >>>>>>>>>>>>> DAISY chain 4
01-31 19:41 WARNING  >>>>>>>>>>>>> DAISY chain 5
01-31 19:46 WARNING  >>>>>>>>>>>>> DAISY chain 6
01-31 19:51 WARNING  >>>>>>>>>>>>> DAISY chain 7
01-31 19:55 WARNING  >>>>>>>>>>>>> DAISY chain 8
01-31 20:00 WARNING  >>>>>>>>>>>>> DAISY chain 9
01-31 20:05 WARNING  >>>>>>>>>>>>> DAISY chain 10
01-31 20:05 WARNING  >>>>>>>>>>>>> in comm round: 3 from 50
01-31 20:10 WARNING  >>>>>>>>>>>>> DAISY chain 0
01-31 20:15 WARNING  >>>>>>>>>>>>> DAISY chain 1
01-31 20:20 WARNING  >>>>>>>>>>>>> DAISY chain 2
01-31 20:25 WARNING  >>>>>>>>>>>>> DAISY chain 3
01-31 20:30 WARNING  >>>>>>>>>>>>> DAISY chain 4
01-31 20:35 WARNING  >>>>>>>>>>>>> DAISY chain 5
01-31 20:39 WARNING  >>>>>>>>>>>>> DAISY chain 6
01-31 20:44 WARNING  >>>>>>>>>>>>> DAISY chain 7
01-31 20:49 WARNING  >>>>>>>>>>>>> DAISY chain 8
01-31 20:53 WARNING  >>>>>>>>>>>>> DAISY chain 9
01-31 20:58 WARNING  >>>>>>>>>>>>> DAISY chain 10
01-31 20:59 WARNING  >>>>>>>>>>>>> in comm round: 4 from 50
01-31 21:03 WARNING  >>>>>>>>>>>>> DAISY chain 0
01-31 21:08 WARNING  >>>>>>>>>>>>> DAISY chain 1
01-31 21:13 WARNING  >>>>>>>>>>>>> DAISY chain 2
01-31 21:18 WARNING  >>>>>>>>>>>>> DAISY chain 3
01-31 21:23 WARNING  >>>>>>>>>>>>> DAISY chain 4
01-31 21:28 WARNING  >>>>>>>>>>>>> DAISY chain 5
01-31 21:32 WARNING  >>>>>>>>>>>>> DAISY chain 6
01-31 21:37 WARNING  >>>>>>>>>>>>> DAISY chain 7
01-31 21:42 WARNING  >>>>>>>>>>>>> DAISY chain 8
01-31 21:47 WARNING  >>>>>>>>>>>>> DAISY chain 9
01-31 21:52 WARNING  >>>>>>>>>>>>> DAISY chain 10
01-31 21:52 WARNING  >>>>>>>>>>>>> in comm round: 5 from 50
01-31 21:57 WARNING  >>>>>>>>>>>>> DAISY chain 0
01-31 22:02 WARNING  >>>>>>>>>>>>> DAISY chain 1
01-31 22:06 WARNING  >>>>>>>>>>>>> DAISY chain 2
01-31 22:11 WARNING  >>>>>>>>>>>>> DAISY chain 3
01-31 22:16 WARNING  >>>>>>>>>>>>> DAISY chain 4
01-31 22:21 WARNING  >>>>>>>>>>>>> DAISY chain 5
01-31 22:26 WARNING  >>>>>>>>>>>>> DAISY chain 6
01-31 22:31 WARNING  >>>>>>>>>>>>> DAISY chain 7
01-31 22:36 WARNING  >>>>>>>>>>>>> DAISY chain 8
01-31 22:40 WARNING  >>>>>>>>>>>>> DAISY chain 9
01-31 22:45 WARNING  >>>>>>>>>>>>> DAISY chain 10
01-31 22:45 WARNING  >>>>>>>>>>>>> in comm round: 6 from 50
01-31 22:50 WARNING  >>>>>>>>>>>>> DAISY chain 0
01-31 22:55 WARNING  >>>>>>>>>>>>> DAISY chain 1
01-31 23:00 WARNING  >>>>>>>>>>>>> DAISY chain 2
01-31 23:05 WARNING  >>>>>>>>>>>>> DAISY chain 3
01-31 23:10 WARNING  >>>>>>>>>>>>> DAISY chain 4
01-31 23:15 WARNING  >>>>>>>>>>>>> DAISY chain 5
01-31 23:20 WARNING  >>>>>>>>>>>>> DAISY chain 6
01-31 23:25 WARNING  >>>>>>>>>>>>> DAISY chain 7
01-31 23:30 WARNING  >>>>>>>>>>>>> DAISY chain 8
01-31 23:35 WARNING  >>>>>>>>>>>>> DAISY chain 9
01-31 23:40 WARNING  >>>>>>>>>>>>> DAISY chain 10
01-31 23:40 WARNING  >>>>>>>>>>>>> in comm round: 7 from 50
01-31 23:45 WARNING  >>>>>>>>>>>>> DAISY chain 0
01-31 23:50 WARNING  >>>>>>>>>>>>> DAISY chain 1
01-31 23:55 WARNING  >>>>>>>>>>>>> DAISY chain 2
02-01 00:00 WARNING  >>>>>>>>>>>>> DAISY chain 3
02-01 00:05 WARNING  >>>>>>>>>>>>> DAISY chain 4
02-01 00:09 WARNING  >>>>>>>>>>>>> DAISY chain 5
02-01 00:14 WARNING  >>>>>>>>>>>>> DAISY chain 6
02-01 00:19 WARNING  >>>>>>>>>>>>> DAISY chain 7
02-01 00:23 WARNING  >>>>>>>>>>>>> DAISY chain 8
02-01 00:28 WARNING  >>>>>>>>>>>>> DAISY chain 9
02-01 00:33 WARNING  >>>>>>>>>>>>> DAISY chain 10
02-01 00:33 WARNING  >>>>>>>>>>>>> in comm round: 8 from 50
02-01 00:38 WARNING  >>>>>>>>>>>>> DAISY chain 0
02-01 00:43 WARNING  >>>>>>>>>>>>> DAISY chain 1
02-01 00:48 WARNING  >>>>>>>>>>>>> DAISY chain 2
02-01 00:53 WARNING  >>>>>>>>>>>>> DAISY chain 3
02-01 00:57 WARNING  >>>>>>>>>>>>> DAISY chain 4
02-01 01:02 WARNING  >>>>>>>>>>>>> DAISY chain 5
02-01 01:07 WARNING  >>>>>>>>>>>>> DAISY chain 6
02-01 01:12 WARNING  >>>>>>>>>>>>> DAISY chain 7
02-01 01:17 WARNING  >>>>>>>>>>>>> DAISY chain 8
02-01 01:22 WARNING  >>>>>>>>>>>>> DAISY chain 9
02-01 01:26 WARNING  >>>>>>>>>>>>> DAISY chain 10
02-01 01:27 WARNING  >>>>>>>>>>>>> in comm round: 9 from 50
02-01 01:31 WARNING  >>>>>>>>>>>>> DAISY chain 0
02-01 01:36 WARNING  >>>>>>>>>>>>> DAISY chain 1
02-01 01:41 WARNING  >>>>>>>>>>>>> DAISY chain 2
02-01 01:46 WARNING  >>>>>>>>>>>>> DAISY chain 3
02-01 01:51 WARNING  >>>>>>>>>>>>> DAISY chain 4
02-01 01:56 WARNING  >>>>>>>>>>>>> DAISY chain 5
02-01 02:01 WARNING  >>>>>>>>>>>>> DAISY chain 6
02-01 02:06 WARNING  >>>>>>>>>>>>> DAISY chain 7
02-01 02:11 WARNING  >>>>>>>>>>>>> DAISY chain 8
02-01 02:16 WARNING  >>>>>>>>>>>>> DAISY chain 9
02-01 02:21 WARNING  >>>>>>>>>>>>> DAISY chain 10
02-01 02:21 WARNING  >>>>>>>>>>>>> in comm round: 10 from 50
02-01 02:26 WARNING  >>>>>>>>>>>>> DAISY chain 0
02-01 02:31 WARNING  >>>>>>>>>>>>> DAISY chain 1
02-01 02:36 WARNING  >>>>>>>>>>>>> DAISY chain 2
02-01 02:41 WARNING  >>>>>>>>>>>>> DAISY chain 3
02-01 02:46 WARNING  >>>>>>>>>>>>> DAISY chain 4
02-01 02:50 WARNING  >>>>>>>>>>>>> DAISY chain 5
02-01 02:55 WARNING  >>>>>>>>>>>>> DAISY chain 6
02-01 03:00 WARNING  >>>>>>>>>>>>> DAISY chain 7
02-01 03:05 WARNING  >>>>>>>>>>>>> DAISY chain 8
02-01 03:10 WARNING  >>>>>>>>>>>>> DAISY chain 9
02-01 03:14 WARNING  >>>>>>>>>>>>> DAISY chain 10
02-01 03:15 WARNING  >>>>>>>>>>>>> in comm round: 11 from 50
02-01 03:20 WARNING  >>>>>>>>>>>>> DAISY chain 0
02-01 03:25 WARNING  >>>>>>>>>>>>> DAISY chain 1
02-01 03:29 WARNING  >>>>>>>>>>>>> DAISY chain 2
02-01 03:34 WARNING  >>>>>>>>>>>>> DAISY chain 3
02-01 03:39 WARNING  >>>>>>>>>>>>> DAISY chain 4
02-01 03:44 WARNING  >>>>>>>>>>>>> DAISY chain 5
02-01 03:48 WARNING  >>>>>>>>>>>>> DAISY chain 6
02-01 03:53 WARNING  >>>>>>>>>>>>> DAISY chain 7
02-01 03:58 WARNING  >>>>>>>>>>>>> DAISY chain 8
02-01 04:03 WARNING  >>>>>>>>>>>>> DAISY chain 9
02-01 04:08 WARNING  >>>>>>>>>>>>> DAISY chain 10
02-01 04:08 WARNING  >>>>>>>>>>>>> in comm round: 12 from 50
02-01 04:13 WARNING  >>>>>>>>>>>>> DAISY chain 0
02-01 04:18 WARNING  >>>>>>>>>>>>> DAISY chain 1
02-01 04:23 WARNING  >>>>>>>>>>>>> DAISY chain 2
02-01 04:28 WARNING  >>>>>>>>>>>>> DAISY chain 3
02-01 04:33 WARNING  >>>>>>>>>>>>> DAISY chain 4
02-01 04:38 WARNING  >>>>>>>>>>>>> DAISY chain 5
02-01 04:43 WARNING  >>>>>>>>>>>>> DAISY chain 6
02-01 04:48 WARNING  >>>>>>>>>>>>> DAISY chain 7
02-01 04:53 WARNING  >>>>>>>>>>>>> DAISY chain 8
02-01 04:58 WARNING  >>>>>>>>>>>>> DAISY chain 9
02-01 05:03 WARNING  >>>>>>>>>>>>> DAISY chain 10
02-01 05:03 WARNING  >>>>>>>>>>>>> in comm round: 13 from 50
02-01 05:08 WARNING  >>>>>>>>>>>>> DAISY chain 0
02-01 05:13 WARNING  >>>>>>>>>>>>> DAISY chain 1
02-01 05:18 WARNING  >>>>>>>>>>>>> DAISY chain 2
02-01 05:23 WARNING  >>>>>>>>>>>>> DAISY chain 3
02-01 05:28 WARNING  >>>>>>>>>>>>> DAISY chain 4
02-01 05:33 WARNING  >>>>>>>>>>>>> DAISY chain 5
02-01 05:38 WARNING  >>>>>>>>>>>>> DAISY chain 6
02-01 05:42 WARNING  >>>>>>>>>>>>> DAISY chain 7
02-01 05:47 WARNING  >>>>>>>>>>>>> DAISY chain 8
02-01 05:52 WARNING  >>>>>>>>>>>>> DAISY chain 9
02-01 05:57 WARNING  >>>>>>>>>>>>> DAISY chain 10
02-01 05:58 WARNING  >>>>>>>>>>>>> in comm round: 14 from 50
02-01 06:03 WARNING  >>>>>>>>>>>>> DAISY chain 0
02-01 06:07 WARNING  >>>>>>>>>>>>> DAISY chain 1
02-01 06:12 WARNING  >>>>>>>>>>>>> DAISY chain 2
02-01 06:17 WARNING  >>>>>>>>>>>>> DAISY chain 3
02-01 06:22 WARNING  >>>>>>>>>>>>> DAISY chain 4
02-01 06:27 WARNING  >>>>>>>>>>>>> DAISY chain 5
