,Round,Epoch,Train Accuracy,Test Accuracy,Confusion Matrix
0,0,10,0.12862,0.1306,"[[0, 360, 640, 0, 0, 0, 0, 0, 0, 0], [1, 398, 601, 0, 0, 0, 0, 0, 0, 0], [0, 92, 908, 0, 0, 0, 0, 0, 0, 0], [0, 69, 930, 0, 1, 0, 0, 0, 0, 0], [0, 57, 943, 0, 0, 0, 0, 0, 0, 0], [0, 68, 929, 0, 3, 0, 0, 0, 0, 0], [0, 25, 974, 0, 1, 0, 0, 0, 0, 0], [1, 163, 835, 0, 1, 0, 0, 0, 0, 0], [0, 517, 483, 0, 0, 0, 0, 0, 0, 0], [1, 504, 495, 0, 0, 0, 0, 0, 0, 0]]"
1,1,10,0.1641,0.1711,"[[20, 870, 81, 0, 27, 0, 0, 2, 0, 0], [1, 780, 161, 1, 52, 0, 0, 5, 0, 0], [15, 331, 323, 0, 325, 0, 2, 4, 0, 0], [14, 259, 397, 1, 317, 0, 2, 10, 0, 0], [2, 185, 278, 0, 517, 0, 5, 13, 0, 0], [7, 299, 375, 2, 313, 0, 1, 3, 0, 0], [1, 98, 298, 0, 593, 0, 5, 5, 0, 0], [7, 379, 339, 0, 209, 0, 1, 65, 0, 0], [5, 891, 87, 0, 15, 0, 0, 2, 0, 0], [1, 802, 150, 0, 37, 0, 1, 9, 0, 0]]"
2,2,10,0.22796,0.2436,"[[623, 173, 77, 7, 58, 0, 16, 40, 0, 6], [242, 475, 96, 15, 37, 0, 77, 42, 0, 16], [154, 60, 178, 17, 500, 0, 47, 40, 0, 4], [71, 53, 221, 45, 481, 0, 56, 73, 0, 0], [71, 27, 115, 9, 664, 0, 72, 42, 0, 0], [63, 57, 270, 45, 492, 0, 45, 28, 0, 0], [17, 23, 105, 6, 643, 0, 180, 26, 0, 0], [75, 93, 173, 15, 370, 0, 43, 227, 0, 4], [515, 305, 93, 17, 29, 0, 5, 29, 0, 7], [258, 364, 82, 8, 58, 0, 60, 126, 0, 44]]"
3,3,10,0.27288,0.3011,"[[677, 166, 52, 13, 16, 0, 19, 43, 1, 13], [220, 657, 13, 17, 7, 0, 28, 18, 1, 39], [170, 89, 251, 39, 280, 1, 99, 66, 1, 4], [111, 95, 261, 153, 169, 4, 100, 103, 0, 4], [87, 42, 174, 39, 418, 0, 170, 69, 0, 1], [103, 84, 303, 138, 191, 22, 97, 58, 2, 2], [27, 63, 146, 57, 289, 0, 370, 46, 0, 2], [99, 107, 186, 53, 162, 2, 66, 316, 0, 9], [534, 336, 27, 26, 4, 1, 7, 29, 21, 15], [243, 447, 28, 24, 5, 0, 41, 79, 7, 126]]"
4,4,10,0.30334,0.336,"[[630, 198, 47, 21, 4, 0, 16, 33, 36, 15], [137, 779, 3, 13, 3, 2, 16, 11, 9, 27], [149, 98, 333, 95, 150, 14, 87, 62, 7, 5], [89, 132, 206, 287, 53, 38, 100, 82, 3, 10], [81, 65, 253, 85, 273, 3, 161, 72, 2, 5], [83, 104, 264, 251, 62, 83, 84, 61, 6, 2], [23, 108, 165, 122, 139, 4, 381, 50, 1, 7], [87, 132, 171, 115, 76, 20, 50, 331, 1, 17], [432, 359, 12, 33, 0, 1, 6, 17, 122, 18], [161, 560, 7, 25, 3, 1, 19, 41, 42, 141]]"
5,5,10,0.33768,0.3676,"[[610, 179, 66, 36, 7, 2, 13, 32, 42, 13], [91, 815, 7, 13, 3, 3, 21, 13, 16, 18], [99, 76, 422, 100, 122, 37, 68, 64, 9, 3], [49, 98, 223, 336, 29, 82, 97, 76, 3, 7], [64, 49, 307, 91, 280, 8, 114, 79, 4, 4], [42, 59, 269, 285, 38, 177, 59, 64, 6, 1], [14, 71, 167, 165, 150, 8, 377, 36, 4, 8], [53, 91, 186, 142, 56, 48, 32, 377, 2, 13], [406, 324, 25, 39, 0, 5, 7, 15, 166, 13], [115, 608, 10, 34, 3, 3, 23, 48, 40, 116]]"
6,6,10,0.36432,0.4033,"[[623, 135, 70, 44, 5, 5, 17, 22, 69, 10], [77, 801, 5, 16, 3, 8, 20, 14, 33, 23], [93, 49, 454, 112, 100, 67, 62, 49, 11, 3], [44, 65, 173, 423, 16, 137, 90, 42, 2, 8], [74, 33, 332, 85, 257, 33, 104, 69, 10, 3], [36, 31, 216, 286, 22, 303, 46, 50, 8, 2], [12, 46, 191, 191, 121, 19, 386, 18, 6, 10], [46, 62, 141, 154, 54, 100, 22, 403, 4, 14], [413, 232, 24, 36, 0, 10, 10, 11, 245, 19], [94, 544, 12, 57, 2, 6, 30, 42, 75, 138]]"
7,7,10,0.38084,0.4213,"[[638, 124, 84, 40, 14, 9, 19, 17, 49, 6], [60, 822, 8, 21, 5, 10, 19, 12, 27, 16], [75, 45, 423, 108, 141, 67, 73, 55, 10, 3], [33, 55, 160, 412, 26, 142, 119, 41, 1, 11], [65, 32, 247, 80, 359, 31, 116, 61, 7, 2], [26, 28, 190, 275, 38, 330, 57, 45, 9, 2], [9, 35, 124, 158, 156, 17, 473, 16, 6, 6], [38, 57, 121, 138, 77, 100, 27, 426, 5, 11], [440, 230, 30, 32, 5, 11, 15, 8, 218, 11], [100, 574, 13, 54, 4, 5, 34, 40, 64, 112]]"
8,8,10,0.39622,0.4446,"[[626, 104, 94, 37, 13, 11, 18, 16, 71, 10], [53, 816, 11, 17, 4, 10, 12, 14, 42, 21], [69, 40, 491, 97, 101, 75, 51, 59, 14, 3], [34, 51, 156, 429, 25, 164, 79, 44, 6, 12], [60, 29, 285, 81, 324, 38, 93, 75, 12, 3], [22, 30, 188, 256, 28, 374, 34, 53, 12, 3], [8, 29, 158, 183, 124, 22, 435, 23, 7, 11], [40, 50, 117, 117, 58, 101, 19, 483, 4, 11], [386, 188, 30, 28, 5, 13, 13, 12, 307, 18], [84, 520, 16, 46, 3, 8, 32, 47, 83, 161]]"
9,9,10,0.41114,0.4525,"[[635, 106, 83, 37, 19, 11, 22, 14, 63, 10], [47, 826, 12, 16, 3, 10, 14, 14, 39, 19], [66, 38, 464, 115, 121, 61, 61, 56, 13, 5], [35, 52, 135, 442, 27, 156, 99, 39, 4, 11], [58, 28, 239, 90, 362, 37, 102, 69, 11, 4], [19, 31, 167, 291, 39, 343, 41, 54, 12, 3], [8, 29, 125, 165, 128, 22, 485, 20, 7, 11], [34, 50, 99, 120, 77, 102, 22, 478, 7, 11], [384, 187, 26, 31, 8, 12, 17, 9, 308, 18], [83, 520, 13, 46, 4, 6, 31, 44, 71, 182]]"
