,Round,Daisy,Epoch,Train Accuracy,Test Accuracy,Confusion Matrix
0,0,10,1,0.41082,0.4492,"[[544, 51, 55, 16, 32, 5, 26, 22, 180, 69], [39, 568, 7, 17, 10, 6, 29, 22, 99, 203], [93, 27, 208, 50, 294, 60, 147, 69, 23, 29], [28, 24, 80, 197, 115, 186, 193, 96, 22, 59], [51, 16, 67, 41, 495, 34, 156, 95, 28, 17], [24, 24, 79, 139, 112, 345, 105, 119, 21, 32], [6, 16, 49, 48, 244, 28, 532, 38, 12, 27], [30, 18, 43, 55, 129, 70, 55, 516, 12, 72], [191, 78, 11, 15, 11, 7, 17, 13, 553, 104], [47, 147, 7, 30, 8, 10, 40, 46, 131, 534]]"
1,1,10,1,0.49724,0.5306,"[[552, 66, 51, 12, 20, 12, 27, 18, 175, 67], [24, 736, 8, 11, 5, 9, 11, 17, 38, 141], [64, 26, 359, 63, 150, 91, 129, 60, 32, 26], [19, 28, 73, 295, 66, 215, 168, 71, 16, 49], [38, 17, 109, 61, 437, 37, 131, 130, 25, 15], [8, 17, 95, 152, 57, 457, 64, 108, 16, 26], [4, 20, 71, 65, 118, 27, 645, 21, 7, 22], [19, 8, 30, 65, 71, 89, 24, 639, 6, 49], [105, 119, 16, 18, 10, 16, 11, 10, 632, 63], [30, 238, 14, 18, 5, 18, 32, 32, 59, 554]]"
2,2,10,1,0.53332,0.5624,"[[566, 60, 30, 9, 11, 4, 25, 9, 215, 71], [17, 784, 3, 8, 5, 4, 15, 7, 41, 116], [77, 34, 354, 72, 120, 63, 164, 43, 42, 31], [29, 34, 58, 317, 49, 167, 197, 49, 32, 68], [37, 21, 77, 56, 444, 23, 165, 118, 40, 19], [15, 17, 78, 175, 64, 391, 97, 96, 35, 32], [5, 25, 44, 50, 61, 13, 748, 15, 14, 25], [26, 17, 25, 50, 63, 65, 39, 635, 14, 66], [65, 87, 4, 17, 7, 2, 7, 6, 760, 45], [23, 215, 5, 15, 2, 7, 27, 13, 68, 625]]"
3,3,10,1,0.57246,0.6021,"[[591, 34, 43, 18, 22, 9, 27, 12, 165, 79], [14, 742, 7, 9, 2, 10, 15, 9, 30, 162], [62, 22, 438, 89, 79, 85, 134, 40, 24, 27], [26, 13, 77, 390, 41, 191, 146, 54, 16, 46], [23, 10, 93, 75, 445, 54, 151, 118, 16, 15], [11, 7, 80, 183, 43, 502, 76, 69, 2, 27], [4, 12, 43, 71, 25, 23, 788, 14, 4, 16], [12, 8, 21, 65, 61, 83, 28, 663, 4, 55], [59, 60, 13, 23, 9, 12, 13, 6, 756, 49], [22, 143, 6, 19, 4, 14, 24, 18, 44, 706]]"
4,4,10,1,0.59356,0.6216,"[[683, 32, 33, 8, 20, 7, 25, 15, 113, 64], [25, 799, 1, 8, 2, 6, 13, 6, 27, 113], [76, 24, 417, 78, 142, 58, 113, 35, 30, 27], [26, 23, 53, 402, 83, 160, 133, 53, 24, 43], [30, 13, 57, 61, 580, 40, 81, 106, 21, 11], [11, 10, 44, 196, 89, 478, 65, 71, 14, 22], [9, 17, 37, 61, 77, 15, 752, 15, 8, 9], [11, 13, 20, 60, 77, 67, 21, 685, 5, 41], [77, 71, 7, 13, 10, 7, 9, 9, 755, 42], [36, 180, 2, 21, 4, 4, 25, 22, 41, 665]]"
5,5,10,1,0.6118,0.6408,"[[688, 23, 42, 7, 31, 8, 24, 15, 111, 51], [32, 774, 4, 10, 4, 5, 17, 6, 21, 127], [56, 11, 494, 66, 130, 51, 103, 36, 28, 25], [25, 11, 81, 375, 84, 191, 118, 49, 20, 46], [19, 4, 71, 50, 605, 33, 86, 109, 16, 7], [8, 3, 63, 171, 83, 513, 58, 71, 12, 18], [3, 12, 45, 62, 59, 26, 762, 13, 7, 11], [12, 4, 36, 52, 73, 69, 21, 697, 4, 32], [73, 48, 10, 13, 13, 10, 9, 10, 778, 36], [37, 116, 7, 21, 8, 6, 23, 25, 35, 722]]"
6,6,10,1,0.61872,0.6456,"[[693, 22, 35, 13, 18, 3, 22, 22, 118, 54], [30, 757, 3, 6, 4, 3, 20, 8, 34, 135], [63, 16, 463, 74, 121, 42, 115, 45, 37, 24], [24, 10, 63, 443, 72, 125, 126, 65, 32, 40], [35, 4, 63, 63, 582, 18, 85, 123, 20, 7], [13, 4, 48, 217, 81, 442, 65, 98, 13, 19], [6, 8, 30, 72, 55, 13, 781, 11, 14, 10], [19, 6, 24, 54, 58, 49, 16, 738, 6, 30], [66, 39, 4, 11, 10, 4, 7, 9, 824, 26], [40, 107, 3, 23, 2, 2, 21, 21, 48, 733]]"
7,7,10,1,0.63088,0.6523,"[[716, 26, 37, 7, 17, 3, 24, 15, 97, 58], [27, 774, 3, 8, 0, 6, 17, 1, 20, 144], [67, 15, 504, 74, 92, 53, 111, 36, 30, 18], [35, 14, 75, 453, 59, 149, 107, 43, 23, 42], [39, 5, 73, 73, 553, 32, 87, 114, 14, 10], [20, 4, 73, 206, 59, 483, 60, 55, 14, 26], [9, 6, 39, 76, 39, 24, 779, 7, 11, 10], [22, 7, 31, 60, 58, 69, 17, 689, 5, 42], [60, 50, 4, 19, 7, 8, 10, 7, 791, 44], [36, 89, 6, 23, 4, 2, 19, 9, 31, 781]]"
8,8,10,1,0.62926,0.65,"[[683, 43, 26, 11, 15, 3, 19, 16, 133, 51], [17, 856, 2, 6, 5, 2, 8, 4, 24, 76], [77, 18, 490, 78, 114, 36, 82, 44, 41, 20], [31, 28, 63, 456, 84, 113, 96, 52, 33, 44], [36, 12, 67, 52, 606, 18, 62, 122, 18, 7], [19, 11, 66, 226, 74, 401, 48, 101, 26, 28], [7, 17, 42, 75, 57, 20, 731, 14, 20, 17], [30, 14, 27, 49, 54, 46, 11, 729, 5, 35], [44, 50, 4, 9, 6, 6, 5, 6, 849, 21], [36, 169, 5, 19, 7, 2, 10, 11, 42, 699]]"
9,9,10,1,0.64014,0.6597,"[[679, 29, 34, 14, 26, 8, 24, 17, 114, 55], [22, 758, 5, 9, 4, 6, 19, 3, 31, 143], [60, 11, 504, 81, 110, 58, 87, 43, 32, 14], [22, 8, 51, 463, 72, 169, 110, 53, 18, 34], [24, 5, 63, 77, 593, 31, 77, 108, 17, 5], [9, 2, 52, 207, 61, 519, 52, 69, 10, 19], [4, 4, 41, 84, 48, 24, 763, 8, 13, 11], [17, 2, 23, 59, 65, 67, 13, 724, 7, 23], [45, 35, 6, 21, 7, 6, 9, 8, 837, 26], [30, 84, 6, 23, 10, 2, 18, 20, 50, 757]]"
