,Round,Epoch,Train Accuracy,Test Accuracy,Confusion Matrix
0,0,10,0.08345,0.0843,"[[0, 0, 980, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1122, 0, 0, 0, 0, 13, 0, 0], [0, 0, 842, 0, 0, 0, 0, 190, 0, 0], [0, 0, 966, 0, 0, 0, 0, 44, 0, 0], [0, 0, 982, 0, 0, 0, 0, 0, 0, 0], [0, 0, 886, 0, 0, 0, 0, 6, 0, 0], [0, 0, 954, 0, 0, 0, 0, 4, 0, 0], [0, 0, 1027, 0, 0, 0, 0, 1, 0, 0], [0, 0, 959, 0, 0, 0, 0, 15, 0, 0], [0, 0, 1006, 0, 0, 0, 0, 3, 0, 0]]"
1,1,10,0.06423333333333334,0.0631,"[[0, 0, 962, 0, 0, 0, 0, 18, 0, 0], [0, 0, 691, 0, 0, 0, 0, 444, 0, 0], [0, 0, 413, 0, 1, 0, 0, 618, 0, 0], [0, 0, 633, 0, 0, 0, 0, 377, 0, 0], [0, 0, 937, 0, 0, 0, 0, 45, 0, 0], [0, 0, 761, 0, 0, 0, 0, 131, 0, 0], [0, 0, 865, 0, 0, 0, 0, 93, 0, 0], [0, 0, 810, 0, 0, 0, 0, 218, 0, 0], [0, 0, 755, 0, 0, 0, 0, 219, 0, 0], [0, 0, 895, 0, 0, 0, 0, 114, 0, 0]]"
2,2,10,0.09468333333333333,0.0976,"[[0, 0, 811, 0, 0, 0, 0, 169, 0, 0], [0, 0, 254, 0, 0, 0, 0, 881, 0, 0], [0, 0, 145, 0, 2, 0, 0, 885, 0, 0], [0, 0, 194, 0, 0, 0, 0, 816, 0, 0], [0, 0, 580, 0, 0, 0, 0, 402, 0, 0], [0, 0, 353, 0, 0, 0, 0, 539, 0, 0], [0, 0, 492, 0, 0, 0, 0, 466, 0, 0], [0, 0, 197, 0, 0, 0, 0, 831, 0, 0], [0, 0, 276, 0, 0, 0, 0, 698, 0, 0], [0, 0, 302, 0, 0, 0, 0, 707, 0, 0]]"
3,3,10,0.10416666666666667,0.1035,"[[0, 0, 304, 0, 0, 0, 0, 676, 0, 0], [0, 0, 22, 0, 0, 0, 0, 1113, 0, 0], [0, 0, 25, 0, 0, 0, 0, 1007, 0, 0], [0, 0, 25, 0, 0, 0, 0, 985, 0, 0], [0, 0, 107, 0, 0, 0, 0, 875, 0, 0], [0, 0, 61, 0, 0, 0, 0, 831, 0, 0], [0, 0, 108, 0, 0, 0, 0, 850, 0, 0], [0, 0, 18, 0, 0, 0, 0, 1010, 0, 0], [0, 0, 42, 0, 2, 0, 0, 930, 0, 0], [0, 0, 34, 0, 0, 0, 0, 975, 0, 0]]"
4,4,10,0.10441666666666667,0.1026,"[[0, 0, 24, 0, 0, 1, 0, 955, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1135, 0, 0], [0, 0, 1, 0, 0, 0, 0, 1031, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1010, 0, 0], [0, 0, 8, 0, 0, 0, 0, 974, 0, 0], [0, 0, 7, 0, 0, 0, 0, 885, 0, 0], [0, 0, 6, 0, 0, 0, 0, 952, 0, 0], [0, 0, 3, 0, 0, 0, 0, 1025, 0, 0], [0, 0, 3, 0, 1, 0, 0, 970, 0, 0], [0, 0, 2, 0, 0, 0, 0, 1007, 0, 0]]"
5,5,10,0.10476666666666666,0.1031,"[[0, 0, 0, 0, 0, 1, 0, 979, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1135, 0, 0], [0, 0, 1, 0, 0, 0, 0, 1031, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1010, 0, 0], [0, 0, 0, 0, 0, 0, 0, 982, 0, 0], [0, 0, 1, 0, 0, 0, 0, 891, 0, 0], [0, 0, 0, 0, 0, 0, 0, 958, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1028, 0, 0], [0, 0, 0, 0, 0, 0, 0, 972, 2, 0], [0, 0, 0, 0, 0, 0, 0, 1009, 0, 0]]"
6,6,10,0.11563333333333334,0.1162,"[[11, 0, 0, 1, 0, 1, 0, 962, 5, 0], [0, 0, 0, 0, 0, 0, 0, 1116, 19, 0], [0, 0, 0, 0, 0, 0, 0, 956, 76, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 10, 0], [0, 0, 0, 0, 0, 0, 0, 973, 9, 0], [0, 0, 0, 0, 0, 0, 0, 859, 33, 0], [0, 0, 0, 0, 0, 0, 0, 914, 44, 0], [0, 0, 0, 0, 0, 0, 0, 1028, 0, 0], [0, 0, 0, 0, 0, 0, 0, 851, 123, 0], [0, 0, 0, 0, 0, 0, 0, 1009, 0, 0]]"
7,7,10,0.19396666666666668,0.1993,"[[364, 0, 0, 1, 0, 0, 0, 558, 57, 0], [0, 0, 0, 0, 0, 0, 0, 818, 317, 0], [4, 0, 0, 0, 0, 0, 0, 671, 357, 0], [0, 0, 0, 1, 0, 0, 0, 884, 125, 0], [0, 0, 0, 0, 0, 0, 0, 877, 105, 0], [0, 0, 0, 2, 0, 0, 0, 628, 262, 0], [0, 0, 0, 0, 0, 0, 0, 463, 495, 0], [1, 0, 0, 0, 0, 0, 0, 998, 29, 0], [2, 0, 0, 0, 0, 0, 0, 342, 630, 0], [1, 0, 0, 0, 0, 0, 0, 923, 85, 0]]"
8,8,10,0.2503166666666667,0.2477,"[[728, 0, 0, 0, 0, 0, 0, 84, 168, 0], [0, 0, 0, 0, 0, 0, 0, 171, 964, 0], [16, 0, 0, 0, 0, 0, 0, 233, 783, 0], [1, 0, 0, 7, 0, 0, 0, 380, 622, 0], [4, 0, 0, 0, 0, 0, 0, 422, 556, 0], [5, 0, 0, 1, 0, 0, 0, 211, 675, 0], [6, 0, 0, 0, 0, 0, 0, 110, 842, 0], [2, 0, 0, 0, 0, 0, 0, 822, 204, 0], [5, 0, 0, 0, 0, 0, 0, 49, 920, 0], [6, 0, 0, 0, 0, 0, 0, 425, 578, 0]]"
9,9,10,0.21868333333333334,0.2168,"[[776, 0, 0, 0, 0, 0, 0, 3, 201, 0], [0, 0, 0, 0, 0, 0, 0, 2, 1133, 0], [33, 0, 0, 0, 0, 0, 0, 25, 974, 0], [20, 0, 0, 6, 0, 0, 0, 49, 935, 0], [9, 0, 0, 0, 0, 0, 0, 115, 858, 0], [25, 0, 0, 0, 0, 0, 0, 30, 837, 0], [16, 0, 0, 0, 0, 0, 0, 19, 923, 0], [11, 0, 0, 0, 0, 0, 0, 419, 598, 0], [4, 0, 0, 0, 0, 0, 0, 3, 967, 0], [6, 0, 0, 0, 0, 0, 0, 58, 945, 0]]"
