,Round,Daisy,Epoch,Train Accuracy,Test Accuracy,Confusion Matrix
0,0,10,1,0.40582,0.4448,"[[557, 49, 58, 19, 32, 6, 22, 25, 180, 52], [51, 546, 12, 26, 15, 6, 27, 24, 97, 196], [89, 27, 213, 63, 317, 54, 115, 68, 29, 25], [33, 19, 93, 255, 126, 155, 149, 90, 21, 59], [51, 15, 64, 55, 539, 28, 123, 82, 30, 13], [21, 18, 83, 182, 131, 324, 85, 107, 24, 25], [4, 13, 55, 74, 281, 27, 462, 39, 17, 28], [35, 13, 45, 73, 159, 69, 33, 500, 14, 59], [193, 77, 15, 26, 12, 8, 14, 15, 553, 87], [52, 140, 10, 44, 13, 7, 42, 46, 147, 499]]"
1,1,10,1,0.49066,0.527,"[[544, 71, 56, 19, 17, 9, 31, 20, 158, 75], [24, 735, 10, 16, 4, 7, 9, 17, 34, 144], [65, 25, 378, 76, 114, 92, 120, 72, 30, 28], [22, 28, 77, 324, 53, 216, 138, 80, 13, 49], [42, 22, 115, 73, 402, 45, 122, 138, 24, 17], [9, 16, 92, 162, 42, 456, 66, 113, 15, 29], [4, 18, 72, 92, 122, 27, 605, 29, 8, 23], [19, 9, 28, 66, 64, 94, 17, 650, 5, 48], [100, 132, 16, 25, 8, 17, 10, 11, 617, 64], [27, 238, 13, 25, 7, 19, 29, 28, 55, 559]]"
2,2,10,1,0.5283,0.5568,"[[564, 57, 35, 12, 10, 2, 33, 8, 227, 52], [24, 790, 4, 8, 2, 2, 13, 4, 52, 101], [84, 31, 371, 84, 105, 57, 158, 36, 44, 30], [30, 39, 63, 338, 52, 144, 201, 42, 34, 57], [41, 19, 79, 64, 423, 31, 178, 105, 44, 16], [16, 18, 82, 207, 50, 372, 110, 82, 32, 31], [6, 24, 41, 56, 64, 13, 743, 14, 16, 23], [34, 18, 25, 56, 68, 71, 39, 610, 14, 65], [67, 84, 7, 11, 4, 5, 9, 4, 773, 36], [26, 241, 5, 20, 2, 6, 26, 12, 78, 584]]"
3,3,10,1,0.56808,0.5948,"[[605, 25, 45, 17, 29, 5, 28, 20, 151, 75], [20, 686, 8, 10, 5, 10, 16, 12, 32, 201], [66, 19, 425, 76, 113, 75, 132, 41, 26, 27], [22, 15, 71, 363, 50, 214, 155, 55, 14, 41], [26, 7, 75, 77, 457, 56, 145, 123, 20, 14], [7, 5, 75, 174, 46, 513, 74, 70, 7, 29], [4, 15, 37, 74, 41, 28, 763, 14, 7, 17], [18, 10, 23, 66, 64, 85, 25, 659, 4, 46], [73, 59, 12, 28, 9, 12, 11, 7, 737, 52], [21, 105, 10, 19, 2, 14, 23, 23, 43, 740]]"
4,4,10,1,0.58634,0.6122,"[[658, 35, 40, 19, 21, 8, 20, 14, 109, 76], [11, 766, 4, 16, 5, 6, 12, 6, 27, 147], [81, 16, 415, 107, 118, 85, 90, 32, 30, 26], [23, 19, 46, 428, 69, 190, 114, 50, 20, 41], [29, 7, 59, 75, 561, 50, 81, 107, 21, 10], [7, 5, 43, 226, 72, 487, 50, 75, 8, 27], [5, 13, 44, 94, 90, 32, 694, 8, 9, 11], [19, 10, 18, 66, 74, 81, 16, 668, 7, 41], [72, 83, 12, 24, 9, 12, 7, 7, 724, 50], [23, 138, 5, 31, 4, 7, 21, 13, 37, 721]]"
5,5,10,1,0.60824,0.6306,"[[642, 23, 52, 10, 27, 6, 26, 18, 141, 55], [23, 768, 5, 13, 3, 7, 13, 9, 32, 127], [58, 12, 476, 76, 112, 61, 120, 37, 31, 17], [24, 9, 79, 375, 77, 176, 147, 52, 26, 35], [24, 3, 72, 59, 545, 39, 124, 104, 23, 7], [7, 6, 59, 169, 71, 506, 77, 78, 9, 18], [4, 10, 43, 50, 45, 30, 795, 7, 9, 7], [19, 10, 29, 56, 86, 68, 21, 674, 7, 30], [54, 52, 10, 15, 10, 7, 10, 10, 799, 33], [26, 117, 13, 23, 5, 5, 22, 21, 42, 726]]"
6,6,10,1,0.61694,0.6403,"[[681, 22, 50, 9, 19, 4, 29, 18, 114, 54], [25, 773, 6, 11, 2, 5, 16, 8, 35, 119], [62, 10, 493, 65, 100, 55, 128, 38, 29, 20], [19, 8, 88, 387, 84, 146, 151, 53, 26, 38], [33, 4, 74, 60, 566, 30, 110, 96, 20, 7], [13, 6, 75, 175, 73, 478, 74, 74, 10, 22], [4, 9, 37, 46, 44, 21, 813, 7, 11, 8], [20, 8, 35, 50, 83, 58, 28, 676, 9, 33], [74, 49, 12, 15, 11, 1, 11, 8, 793, 26], [34, 105, 9, 18, 7, 3, 23, 16, 42, 743]]"
7,7,10,1,0.62684,0.6456,"[[718, 27, 40, 13, 14, 4, 20, 19, 103, 42], [31, 795, 5, 12, 1, 6, 11, 5, 20, 114], [84, 13, 476, 74, 106, 55, 101, 39, 31, 21], [28, 11, 69, 440, 69, 133, 126, 53, 27, 44], [39, 7, 67, 71, 562, 24, 92, 110, 20, 8], [20, 6, 59, 227, 67, 454, 59, 80, 10, 18], [7, 14, 31, 64, 50, 19, 786, 5, 13, 11], [25, 9, 35, 55, 63, 60, 20, 701, 7, 25], [77, 58, 10, 11, 11, 4, 4, 6, 790, 29], [37, 128, 9, 21, 3, 4, 11, 18, 35, 734]]"
8,8,10,1,0.63382,0.6529,"[[717, 42, 40, 10, 16, 4, 15, 13, 102, 41], [16, 848, 5, 9, 1, 5, 13, 3, 22, 78], [78, 16, 507, 76, 98, 46, 90, 46, 29, 14], [35, 17, 62, 393, 76, 163, 138, 50, 30, 36], [33, 7, 71, 58, 582, 28, 95, 101, 20, 5], [20, 7, 65, 176, 69, 483, 64, 88, 8, 20], [6, 14, 32, 47, 46, 23, 804, 6, 13, 9], [23, 12, 40, 41, 66, 53, 20, 706, 8, 31], [72, 61, 8, 15, 11, 3, 7, 7, 781, 35], [28, 168, 9, 20, 4, 3, 19, 14, 27, 708]]"
9,9,10,1,0.6463,0.6635,"[[695, 36, 29, 13, 17, 9, 15, 12, 117, 57], [14, 802, 4, 6, 2, 5, 16, 4, 29, 118], [72, 11, 501, 76, 79, 69, 102, 41, 32, 17], [28, 9, 59, 433, 67, 175, 129, 47, 24, 29], [28, 4, 75, 72, 567, 32, 95, 98, 21, 8], [19, 5, 56, 184, 54, 528, 58, 65, 11, 20], [6, 7, 27, 52, 33, 25, 823, 8, 13, 6], [20, 8, 30, 54, 61, 63, 18, 707, 10, 29], [59, 43, 7, 13, 9, 7, 7, 7, 816, 32], [26, 103, 8, 24, 3, 6, 18, 13, 36, 763]]"
