,Round,Daisy,Epoch,Train Accuracy,Test Accuracy,Confusion Matrix
0,0,10,1,0.28474,0.3033,"[[117, 86, 3, 5, 10, 59, 41, 56, 481, 142], [7, 370, 1, 4, 5, 84, 101, 43, 191, 194], [26, 55, 14, 18, 133, 150, 329, 97, 123, 55], [15, 33, 10, 15, 119, 288, 244, 152, 36, 88], [21, 14, 6, 12, 181, 117, 455, 95, 45, 54], [13, 36, 5, 15, 136, 364, 224, 116, 52, 39], [4, 16, 6, 16, 85, 90, 637, 94, 11, 41], [8, 59, 6, 6, 123, 137, 140, 331, 50, 140], [36, 88, 3, 4, 5, 89, 18, 29, 531, 197], [8, 120, 2, 10, 9, 35, 78, 63, 202, 473]]"
1,1,10,1,0.36082,0.3984,"[[506, 70, 16, 9, 7, 8, 31, 52, 234, 67], [40, 531, 1, 5, 5, 16, 37, 22, 157, 186], [129, 61, 137, 29, 121, 76, 263, 126, 36, 22], [67, 49, 46, 80, 42, 205, 269, 140, 28, 74], [72, 24, 60, 26, 235, 58, 336, 141, 29, 19], [53, 40, 66, 51, 43, 328, 201, 143, 39, 36], [12, 25, 43, 32, 65, 36, 658, 80, 9, 40], [66, 62, 22, 21, 75, 81, 90, 486, 20, 77], [159, 97, 5, 10, 2, 25, 16, 17, 546, 123], [40, 173, 4, 19, 2, 9, 56, 37, 183, 477]]"
2,2,10,1,0.4236,0.4594,"[[492, 64, 45, 20, 13, 11, 19, 28, 242, 66], [21, 596, 4, 9, 6, 16, 20, 19, 121, 188], [91, 40, 241, 74, 153, 98, 149, 98, 33, 23], [34, 38, 69, 273, 32, 207, 190, 77, 20, 60], [59, 21, 91, 61, 325, 44, 218, 126, 35, 20], [21, 18, 75, 154, 34, 422, 118, 106, 26, 26], [6, 15, 62, 84, 104, 45, 600, 42, 12, 30], [42, 30, 34, 69, 63, 94, 42, 547, 21, 58], [131, 95, 9, 13, 8, 20, 10, 17, 600, 97], [37, 200, 8, 31, 4, 13, 34, 44, 131, 498]]"
3,3,10,1,0.45464,0.4935,"[[496, 51, 63, 13, 15, 8, 27, 29, 222, 76], [18, 601, 8, 14, 5, 14, 17, 20, 97, 206], [62, 26, 365, 70, 120, 81, 138, 82, 30, 26], [25, 25, 79, 311, 31, 181, 191, 76, 14, 67], [38, 20, 141, 53, 342, 36, 193, 118, 33, 26], [17, 13, 93, 175, 32, 400, 115, 110, 19, 26], [1, 13, 79, 83, 87, 28, 626, 38, 10, 35], [32, 17, 40, 67, 62, 84, 42, 573, 18, 65], [108, 86, 13, 15, 6, 18, 10, 12, 638, 94], [23, 178, 8, 23, 5, 10, 35, 37, 98, 583]]"
4,4,10,1,0.47622,0.5091,"[[500, 62, 40, 20, 16, 7, 24, 18, 243, 70], [13, 683, 7, 14, 5, 6, 11, 10, 102, 149], [66, 39, 358, 82, 112, 87, 118, 76, 37, 25], [22, 33, 55, 351, 28, 183, 167, 71, 24, 66], [39, 34, 118, 70, 348, 44, 156, 125, 39, 27], [15, 23, 80, 208, 24, 394, 93, 107, 27, 29], [4, 21, 68, 96, 86, 34, 603, 37, 13, 38], [27, 23, 31, 67, 49, 85, 37, 587, 23, 71], [85, 87, 8, 14, 2, 16, 9, 8, 704, 67], [18, 226, 6, 17, 4, 8, 24, 30, 104, 563]]"
5,5,10,1,0.49164,0.5286,"[[543, 62, 49, 13, 17, 4, 30, 21, 205, 56], [11, 724, 9, 10, 8, 6, 12, 6, 83, 131], [68, 29, 375, 71, 121, 63, 142, 72, 35, 24], [19, 29, 74, 319, 46, 151, 194, 91, 29, 48], [37, 25, 127, 53, 382, 35, 169, 114, 36, 22], [11, 17, 85, 186, 41, 371, 114, 117, 31, 27], [3, 21, 61, 54, 90, 22, 682, 30, 15, 22], [27, 20, 30, 53, 71, 62, 37, 635, 19, 46], [88, 89, 10, 9, 6, 10, 13, 9, 711, 55], [23, 240, 7, 14, 6, 6, 28, 35, 97, 544]]"
6,6,10,1,0.50502,0.5407,"[[576, 52, 44, 19, 15, 4, 26, 20, 180, 64], [22, 700, 9, 8, 8, 7, 12, 9, 81, 144], [80, 19, 376, 70, 139, 77, 119, 65, 33, 22], [30, 25, 65, 319, 39, 189, 169, 81, 29, 54], [38, 15, 108, 55, 416, 46, 147, 118, 36, 21], [12, 14, 83, 177, 41, 422, 95, 104, 27, 25], [4, 15, 51, 50, 99, 37, 672, 24, 18, 30], [28, 16, 29, 53, 66, 72, 36, 632, 16, 52], [98, 78, 10, 7, 6, 14, 12, 9, 704, 62], [31, 213, 9, 11, 5, 8, 27, 29, 77, 590]]"
7,7,10,1,0.51842,0.5527,"[[582, 40, 50, 24, 15, 6, 25, 22, 166, 70], [24, 672, 10, 11, 6, 8, 16, 11, 65, 177], [65, 16, 412, 74, 101, 89, 131, 56, 30, 26], [23, 19, 69, 368, 28, 185, 160, 75, 27, 46], [32, 17, 128, 54, 370, 47, 170, 132, 31, 19], [12, 8, 78, 199, 29, 436, 98, 95, 23, 22], [2, 10, 58, 59, 67, 33, 711, 22, 11, 27], [18, 13, 26, 65, 51, 86, 40, 640, 10, 51], [94, 64, 8, 9, 8, 18, 12, 8, 705, 74], [32, 184, 9, 17, 5, 11, 25, 26, 60, 631]]"
8,8,10,1,0.52916,0.5626,"[[602, 52, 57, 19, 14, 5, 31, 23, 143, 54], [26, 751, 11, 11, 4, 4, 17, 7, 54, 115], [64, 23, 456, 68, 88, 75, 125, 51, 28, 22], [20, 24, 78, 363, 45, 162, 182, 66, 21, 39], [34, 18, 139, 50, 383, 39, 170, 124, 28, 15], [12, 11, 86, 203, 40, 401, 109, 96, 20, 22], [2, 17, 64, 45, 61, 22, 746, 15, 10, 18], [21, 15, 27, 55, 56, 77, 45, 648, 11, 45], [104, 79, 10, 14, 12, 13, 13, 7, 701, 47], [38, 235, 13, 13, 3, 11, 31, 22, 59, 575]]"
9,9,10,1,0.54056,0.57,"[[614, 43, 44, 22, 17, 6, 27, 16, 157, 54], [31, 750, 10, 13, 4, 5, 16, 7, 63, 101], [74, 18, 436, 84, 93, 95, 102, 46, 30, 22], [27, 22, 65, 382, 39, 201, 140, 60, 29, 35], [35, 13, 120, 69, 409, 46, 141, 120, 34, 13], [16, 11, 68, 202, 38, 469, 85, 77, 19, 15], [5, 14, 61, 75, 69, 36, 696, 15, 13, 16], [18, 14, 23, 59, 55, 95, 35, 644, 13, 44], [95, 70, 7, 18, 8, 15, 10, 6, 734, 37], [30, 232, 10, 23, 4, 14, 25, 22, 74, 566]]"
