,Round,Epoch,Train Accuracy,Test Accuracy,Confusion Matrix
0,0,50,0.11872,0.1137,"[[915, 0, 1, 0, 0, 0, 0, 58, 0, 26], [823, 0, 0, 0, 0, 0, 0, 134, 0, 43], [840, 0, 0, 0, 0, 0, 0, 147, 0, 13], [700, 0, 7, 0, 0, 0, 0, 277, 0, 16], [754, 0, 1, 0, 0, 0, 0, 236, 0, 9], [787, 0, 8, 0, 0, 0, 0, 191, 0, 14], [754, 0, 2, 0, 0, 0, 0, 240, 0, 4], [831, 0, 1, 0, 0, 0, 0, 146, 0, 22], [863, 0, 1, 0, 0, 0, 0, 86, 0, 50], [840, 0, 0, 0, 0, 0, 0, 84, 0, 76]]"
1,1,50,0.1567,0.1619,"[[291, 6, 0, 264, 2, 1, 0, 0, 0, 436], [124, 23, 1, 281, 7, 0, 3, 0, 0, 561], [297, 8, 0, 401, 18, 3, 6, 0, 0, 267], [154, 1, 3, 535, 31, 3, 6, 4, 0, 263], [186, 4, 0, 530, 13, 0, 5, 0, 0, 262], [183, 2, 2, 521, 26, 0, 9, 0, 0, 257], [141, 9, 1, 530, 31, 2, 4, 0, 0, 282], [154, 5, 3, 383, 10, 1, 2, 0, 0, 442], [146, 4, 0, 260, 2, 1, 0, 0, 0, 587], [90, 3, 0, 142, 8, 0, 4, 0, 0, 753]]"
2,2,50,0.17988,0.1869,"[[123, 74, 74, 59, 21, 146, 0, 56, 19, 428], [38, 168, 17, 44, 20, 165, 0, 25, 34, 489], [119, 77, 96, 94, 102, 191, 0, 60, 9, 252], [55, 39, 30, 164, 63, 311, 0, 70, 9, 259], [59, 53, 40, 199, 134, 210, 0, 42, 9, 254], [59, 48, 25, 132, 60, 351, 0, 57, 15, 253], [25, 103, 22, 97, 136, 303, 0, 52, 9, 253], [39, 62, 34, 171, 49, 124, 0, 75, 26, 420], [46, 77, 16, 48, 13, 186, 0, 3, 23, 588], [29, 60, 9, 30, 27, 63, 1, 24, 22, 735]]"
3,3,50,0.20484,0.2252,"[[190, 154, 0, 119, 20, 16, 7, 163, 95, 236], [22, 338, 0, 107, 39, 4, 35, 62, 71, 322], [84, 141, 0, 226, 129, 13, 72, 184, 22, 129], [21, 104, 0, 393, 74, 31, 39, 171, 9, 158], [30, 107, 0, 343, 124, 8, 109, 133, 12, 134], [36, 130, 1, 358, 96, 61, 33, 141, 21, 123], [3, 144, 0, 211, 137, 12, 205, 153, 8, 127], [15, 145, 0, 221, 67, 13, 23, 187, 39, 290], [63, 175, 0, 155, 15, 20, 2, 32, 179, 359], [24, 127, 0, 61, 31, 7, 17, 71, 87, 575]]"
4,4,50,0.24972,0.2644,"[[506, 68, 0, 23, 7, 7, 35, 55, 105, 194], [127, 268, 0, 40, 8, 12, 110, 56, 119, 260], [221, 78, 0, 82, 22, 53, 303, 127, 18, 96], [103, 69, 2, 182, 11, 102, 224, 170, 15, 122], [93, 49, 1, 121, 15, 35, 457, 117, 11, 101], [144, 106, 1, 155, 15, 151, 189, 144, 26, 69], [25, 71, 0, 54, 10, 49, 567, 142, 7, 75], [62, 124, 2, 117, 5, 35, 151, 216, 34, 254], [261, 104, 0, 49, 3, 21, 13, 24, 216, 309], [106, 86, 0, 23, 1, 11, 75, 77, 98, 523]]"
5,5,50,0.25538,0.2737,"[[469, 110, 1, 17, 15, 2, 53, 75, 71, 187], [86, 345, 5, 22, 9, 10, 158, 66, 72, 227], [142, 85, 6, 55, 37, 45, 408, 135, 16, 71], [50, 90, 7, 116, 15, 92, 353, 187, 12, 78], [55, 34, 2, 69, 21, 25, 604, 113, 10, 67], [53, 137, 3, 90, 28, 146, 320, 145, 28, 50], [8, 38, 1, 33, 9, 27, 695, 148, 1, 40], [30, 133, 2, 61, 25, 36, 252, 260, 15, 186], [207, 153, 0, 35, 8, 13, 34, 33, 185, 332], [60, 124, 1, 16, 9, 8, 112, 110, 66, 494]]"
6,6,50,0.26684,0.2906,"[[579, 89, 4, 22, 13, 5, 29, 47, 77, 135], [166, 350, 4, 37, 18, 9, 93, 78, 77, 168], [203, 89, 3, 100, 82, 63, 230, 140, 29, 61], [101, 107, 11, 211, 48, 76, 164, 196, 26, 60], [94, 44, 2, 117, 111, 29, 380, 147, 20, 56], [111, 141, 8, 156, 56, 138, 147, 162, 47, 34], [30, 62, 2, 64, 48, 42, 534, 177, 9, 32], [69, 135, 6, 92, 59, 42, 95, 327, 25, 150], [338, 128, 1, 38, 5, 8, 14, 33, 204, 231], [129, 108, 2, 34, 8, 7, 63, 121, 79, 449]]"
7,7,50,0.28722,0.3105,"[[465, 81, 5, 33, 19, 19, 33, 41, 118, 186], [92, 340, 6, 41, 25, 29, 107, 45, 75, 240], [135, 68, 25, 96, 118, 97, 233, 116, 44, 68], [53, 70, 21, 166, 85, 137, 195, 134, 28, 111], [54, 31, 12, 97, 181, 49, 368, 112, 25, 71], [46, 83, 21, 132, 84, 242, 164, 129, 47, 52], [12, 28, 9, 69, 75, 58, 563, 120, 6, 60], [37, 107, 16, 64, 92, 70, 103, 270, 26, 215], [170, 113, 4, 33, 10, 24, 16, 34, 321, 275], [56, 98, 5, 37, 17, 21, 74, 73, 87, 532]]"
8,8,50,0.29154,0.3125,"[[559, 59, 6, 34, 24, 24, 27, 58, 81, 128], [156, 300, 5, 47, 35, 42, 74, 81, 58, 202], [153, 46, 42, 139, 115, 110, 173, 138, 32, 52], [79, 45, 31, 220, 81, 142, 136, 157, 30, 79], [77, 26, 22, 108, 223, 55, 265, 159, 18, 47], [72, 58, 22, 182, 78, 246, 115, 143, 39, 45], [19, 16, 17, 95, 107, 74, 463, 151, 10, 48], [51, 76, 18, 80, 92, 81, 62, 388, 27, 125], [312, 95, 5, 40, 10, 21, 12, 57, 239, 209], [113, 78, 6, 42, 18, 26, 61, 132, 79, 445]]"
9,9,50,0.30488,0.3252,"[[396, 68, 6, 51, 37, 36, 36, 57, 158, 155], [67, 358, 5, 46, 48, 50, 76, 61, 63, 226], [90, 42, 43, 119, 179, 111, 192, 121, 46, 57], [24, 44, 32, 176, 123, 167, 161, 129, 24, 120], [32, 23, 22, 89, 297, 55, 262, 136, 26, 58], [21, 42, 33, 144, 120, 277, 136, 120, 40, 67], [6, 19, 11, 79, 158, 60, 481, 99, 5, 82], [15, 76, 20, 55, 135, 92, 75, 344, 27, 161], [109, 113, 6, 41, 25, 37, 14, 65, 368, 222], [48, 99, 5, 43, 25, 35, 63, 95, 75, 512]]"
