02-02 15:01 WARNING  Partitioning data
02-02 15:04 WARNING  >>>>>>>>>>>>> in comm round: 0 from 50
02-02 15:12 WARNING  >>>>>>>>>>>>> DAISY chain 0
02-02 15:19 WARNING  >>>>>>>>>>>>> DAISY chain 1
02-02 15:26 WARNING  >>>>>>>>>>>>> DAISY chain 2
02-02 15:32 WARNING  >>>>>>>>>>>>> DAISY chain 3
02-02 15:39 WARNING  >>>>>>>>>>>>> DAISY chain 4
02-02 15:47 WARNING  >>>>>>>>>>>>> DAISY chain 5
02-02 15:54 WARNING  >>>>>>>>>>>>> DAISY chain 6
02-02 16:01 WARNING  >>>>>>>>>>>>> DAISY chain 7
02-02 16:09 WARNING  >>>>>>>>>>>>> DAISY chain 8
02-02 16:15 WARNING  >>>>>>>>>>>>> DAISY chain 9
02-02 16:21 WARNING  >>>>>>>>>>>>> DAISY chain 10
02-02 16:22 WARNING  >>>>>>>>>>>>> in comm round: 1 from 50
02-02 16:29 WARNING  >>>>>>>>>>>>> DAISY chain 0
02-02 16:36 WARNING  >>>>>>>>>>>>> DAISY chain 1
02-02 16:43 WARNING  >>>>>>>>>>>>> DAISY chain 2
02-02 16:49 WARNING  >>>>>>>>>>>>> DAISY chain 3
02-02 16:56 WARNING  >>>>>>>>>>>>> DAISY chain 4
02-02 17:04 WARNING  >>>>>>>>>>>>> DAISY chain 5
02-02 17:10 WARNING  >>>>>>>>>>>>> DAISY chain 6
02-02 17:17 WARNING  >>>>>>>>>>>>> DAISY chain 7
02-02 17:23 WARNING  >>>>>>>>>>>>> DAISY chain 8
