,Round,Daisy,Epoch,Test Accuracy,Confusion Matrix
0,0,10,1,0.0982,"[[0, 0, 0, 0, 980, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1135, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1032, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1010, 0, 0, 0, 0, 0], [0, 0, 0, 0, 982, 0, 0, 0, 0, 0], [0, 0, 0, 0, 892, 0, 0, 0, 0, 0], [0, 0, 0, 0, 958, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1028, 0, 0, 0, 0, 0], [0, 0, 0, 0, 974, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1009, 0, 0, 0, 0, 0]]"
1,1,10,1,0.0982,"[[0, 0, 0, 0, 980, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1135, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1032, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1010, 0, 0, 0, 0, 0], [0, 0, 0, 0, 982, 0, 0, 0, 0, 0], [0, 0, 0, 0, 892, 0, 0, 0, 0, 0], [0, 0, 0, 0, 958, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1028, 0, 0, 0, 0, 0], [0, 0, 0, 0, 974, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1009, 0, 0, 0, 0, 0]]"
2,2,10,1,0.0982,"[[0, 0, 0, 0, 980, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1135, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1032, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1010, 0, 0, 0, 0, 0], [0, 0, 0, 0, 982, 0, 0, 0, 0, 0], [0, 0, 0, 0, 892, 0, 0, 0, 0, 0], [0, 0, 0, 0, 958, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1028, 0, 0, 0, 0, 0], [0, 0, 0, 0, 974, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1009, 0, 0, 0, 0, 0]]"
3,3,10,1,0.0982,"[[0, 0, 0, 0, 980, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1135, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1032, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1010, 0, 0, 0, 0, 0], [0, 0, 0, 0, 982, 0, 0, 0, 0, 0], [0, 0, 0, 0, 892, 0, 0, 0, 0, 0], [0, 0, 0, 0, 958, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1028, 0, 0, 0, 0, 0], [0, 0, 0, 0, 974, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1009, 0, 0, 0, 0, 0]]"
4,4,10,1,0.0982,"[[0, 0, 0, 0, 980, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1135, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1032, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1010, 0, 0, 0, 0, 0], [0, 0, 0, 0, 982, 0, 0, 0, 0, 0], [0, 2, 0, 0, 890, 0, 0, 0, 0, 0], [0, 0, 0, 0, 958, 0, 0, 0, 0, 0], [0, 1, 0, 0, 1027, 0, 0, 0, 0, 0], [0, 0, 0, 0, 974, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1009, 0, 0, 0, 0, 0]]"
5,5,10,1,0.0982,"[[0, 1, 0, 0, 979, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1135, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1032, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1010, 0, 0, 0, 0, 0], [0, 0, 0, 0, 982, 0, 0, 0, 0, 0], [0, 3, 0, 0, 889, 0, 0, 0, 0, 0], [0, 0, 0, 0, 958, 0, 0, 0, 0, 0], [0, 3, 0, 0, 1025, 0, 0, 0, 0, 0], [0, 0, 0, 0, 974, 0, 0, 0, 0, 0], [0, 1, 0, 0, 1008, 0, 0, 0, 0, 0]]"
6,6,10,1,0.0997,"[[0, 3, 0, 0, 977, 0, 0, 0, 0, 0], [0, 16, 0, 0, 1119, 0, 0, 0, 0, 0], [0, 1, 0, 0, 1031, 0, 0, 0, 0, 0], [0, 1, 0, 0, 1009, 0, 0, 0, 0, 0], [0, 1, 0, 0, 981, 0, 0, 0, 0, 0], [0, 21, 0, 0, 871, 0, 0, 0, 0, 0], [0, 3, 0, 0, 955, 0, 0, 0, 0, 0], [0, 17, 0, 0, 1011, 0, 0, 0, 0, 0], [0, 1, 0, 0, 973, 0, 0, 0, 0, 0], [0, 2, 0, 0, 1007, 0, 0, 0, 0, 0]]"
7,7,10,1,0.118,"[[0, 16, 0, 0, 964, 0, 0, 0, 0, 0], [0, 209, 0, 0, 926, 0, 0, 0, 0, 0], [0, 13, 0, 0, 1019, 0, 0, 0, 0, 0], [0, 3, 0, 0, 1007, 0, 0, 0, 0, 0], [0, 11, 0, 0, 971, 0, 0, 0, 0, 0], [0, 69, 0, 0, 823, 0, 0, 0, 0, 0], [0, 12, 0, 0, 946, 0, 0, 0, 0, 0], [0, 115, 0, 0, 913, 0, 0, 0, 0, 0], [0, 7, 0, 0, 967, 0, 0, 0, 0, 0], [0, 23, 0, 0, 986, 0, 0, 0, 0, 0]]"
8,8,10,1,0.1451,"[[0, 69, 0, 0, 911, 0, 0, 0, 0, 0], [0, 503, 0, 0, 632, 0, 0, 0, 0, 0], [0, 71, 0, 0, 961, 0, 0, 0, 0, 0], [0, 17, 0, 0, 993, 0, 0, 0, 0, 0], [0, 34, 0, 0, 948, 0, 0, 0, 0, 0], [0, 157, 0, 0, 735, 0, 0, 0, 0, 0], [0, 48, 0, 0, 910, 0, 0, 0, 0, 0], [0, 308, 0, 0, 720, 0, 0, 0, 0, 0], [0, 41, 0, 0, 933, 0, 0, 0, 0, 0], [0, 82, 0, 0, 927, 0, 0, 0, 0, 0]]"
9,9,10,1,0.1571,"[[0, 101, 0, 0, 879, 0, 0, 0, 0, 0], [0, 640, 0, 0, 495, 0, 0, 0, 0, 0], [0, 134, 0, 0, 898, 0, 0, 0, 0, 0], [0, 34, 0, 0, 976, 0, 0, 0, 0, 0], [0, 51, 0, 0, 931, 0, 0, 0, 0, 0], [0, 202, 0, 0, 690, 0, 0, 0, 0, 0], [0, 68, 0, 0, 890, 0, 0, 0, 0, 0], [0, 418, 0, 0, 610, 0, 0, 0, 0, 0], [0, 72, 0, 0, 902, 0, 0, 0, 0, 0], [0, 118, 0, 0, 891, 0, 0, 0, 0, 0]]"
