,Round,Daisy,Epoch,Train Accuracy,Test Accuracy,Confusion Matrix
0,0,10,1,0.37594,0.4132,"[[372, 20, 62, 38, 71, 13, 28, 68, 260, 68], [10, 332, 17, 95, 33, 31, 71, 41, 145, 225], [63, 8, 150, 103, 344, 65, 133, 93, 26, 15], [12, 5, 59, 338, 161, 126, 137, 126, 18, 18], [24, 5, 40, 80, 561, 25, 139, 91, 28, 7], [9, 10, 55, 253, 177, 286, 84, 97, 17, 12], [1, 2, 23, 97, 255, 31, 503, 63, 10, 15], [11, 4, 22, 84, 187, 92, 42, 523, 13, 22], [67, 38, 22, 60, 33, 9, 25, 31, 624, 91], [9, 80, 9, 90, 25, 27, 77, 93, 147, 443]]"
1,1,10,1,0.50074,0.5401,"[[570, 55, 38, 15, 18, 5, 38, 8, 177, 76], [26, 716, 7, 17, 7, 2, 24, 9, 51, 141], [84, 22, 369, 69, 158, 58, 148, 40, 29, 23], [35, 23, 69, 368, 52, 129, 219, 40, 19, 46], [43, 17, 89, 71, 479, 24, 175, 64, 31, 7], [20, 5, 104, 254, 64, 334, 108, 68, 19, 24], [4, 15, 48, 58, 78, 7, 753, 11, 6, 20], [29, 13, 28, 70, 98, 71, 55, 576, 12, 48], [120, 94, 13, 15, 12, 11, 16, 5, 650, 64], [26, 190, 14, 25, 5, 6, 46, 20, 82, 586]]"
2,2,10,1,0.55586,0.5857,"[[612, 43, 43, 17, 17, 8, 33, 14, 148, 65], [29, 739, 8, 9, 1, 5, 15, 14, 42, 138], [75, 25, 403, 51, 124, 84, 133, 48, 36, 21], [23, 23, 69, 345, 44, 215, 145, 69, 21, 46], [36, 10, 73, 69, 464, 51, 137, 126, 25, 9], [9, 5, 81, 165, 54, 484, 71, 93, 18, 20], [5, 15, 39, 62, 47, 25, 770, 17, 4, 16], [18, 6, 23, 46, 68, 89, 34, 680, 7, 29], [89, 69, 12, 11, 11, 15, 11, 9, 719, 54], [36, 172, 6, 22, 3, 8, 25, 28, 59, 641]]"
3,3,10,1,0.57796,0.6114,"[[677, 51, 36, 13, 12, 7, 23, 10, 128, 43], [14, 815, 1, 9, 2, 5, 19, 4, 44, 87], [85, 22, 479, 56, 94, 77, 107, 24, 41, 15], [36, 27, 71, 385, 48, 213, 124, 33, 26, 37], [44, 12, 104, 73, 487, 48, 124, 79, 22, 7], [19, 6, 75, 177, 51, 526, 71, 43, 21, 11], [5, 17, 44, 60, 44, 18, 790, 6, 7, 9], [28, 11, 31, 59, 84, 116, 28, 603, 11, 29], [95, 78, 10, 10, 7, 8, 11, 6, 743, 32], [36, 220, 5, 23, 2, 12, 22, 18, 53, 609]]"
4,4,10,1,0.5999,0.6323,"[[658, 37, 51, 11, 25, 7, 35, 17, 112, 47], [19, 781, 5, 9, 3, 4, 27, 6, 25, 121], [61, 13, 509, 54, 113, 65, 120, 23, 26, 16], [26, 16, 74, 346, 75, 191, 168, 45, 16, 43], [22, 7, 79, 49, 574, 37, 129, 83, 15, 5], [12, 3, 78, 149, 79, 504, 98, 56, 10, 11], [1, 11, 34, 35, 41, 19, 838, 10, 6, 5], [14, 6, 42, 47, 100, 82, 33, 651, 6, 19], [72, 56, 17, 11, 17, 16, 15, 5, 754, 37], [31, 130, 7, 24, 5, 7, 31, 20, 37, 708]]"
5,5,10,1,0.6254,0.6503,"[[698, 40, 32, 12, 15, 6, 20, 15, 101, 61], [17, 836, 2, 5, 1, 3, 12, 2, 26, 96], [82, 14, 516, 65, 72, 89, 86, 27, 25, 24], [32, 19, 68, 417, 41, 226, 100, 35, 16, 46], [34, 12, 88, 74, 505, 70, 99, 92, 16, 10], [20, 3, 62, 165, 58, 575, 44, 46, 10, 17], [11, 10, 39, 69, 25, 38, 777, 11, 11, 9], [21, 14, 42, 57, 49, 108, 12, 659, 8, 30], [71, 65, 7, 12, 8, 12, 4, 3, 780, 38], [27, 132, 6, 22, 2, 7, 15, 13, 36, 740]]"
6,6,10,1,0.62692,0.6491,"[[694, 35, 47, 15, 11, 5, 23, 16, 102, 52], [17, 781, 8, 12, 2, 8, 14, 6, 37, 115], [69, 6, 637, 55, 46, 62, 66, 29, 18, 12], [32, 10, 114, 441, 32, 185, 104, 33, 14, 35], [35, 4, 170, 79, 441, 59, 90, 102, 12, 8], [20, 4, 103, 200, 28, 531, 45, 48, 9, 12], [9, 5, 71, 74, 22, 34, 761, 10, 9, 5], [15, 7, 68, 59, 39, 94, 8, 681, 6, 23], [61, 45, 18, 21, 4, 8, 4, 7, 788, 44], [22, 117, 13, 27, 1, 9, 22, 11, 42, 736]]"
7,7,10,1,0.64544,0.6704,"[[723, 35, 54, 10, 17, 7, 21, 21, 69, 43], [21, 813, 5, 6, 2, 0, 11, 6, 29, 107], [61, 8, 553, 59, 85, 57, 107, 31, 24, 15], [27, 16, 69, 453, 52, 170, 100, 52, 18, 43], [28, 3, 72, 69, 572, 35, 89, 111, 14, 7], [17, 4, 62, 186, 65, 515, 52, 75, 8, 16], [7, 7, 39, 51, 33, 28, 807, 9, 9, 10], [14, 10, 46, 45, 59, 62, 13, 724, 6, 21], [82, 51, 8, 12, 11, 5, 6, 5, 778, 42], [27, 108, 7, 25, 4, 3, 14, 8, 38, 766]]"
8,8,10,1,0.65038,0.6679,"[[723, 32, 32, 10, 12, 5, 21, 14, 105, 46], [21, 789, 5, 8, 3, 1, 11, 3, 38, 121], [76, 10, 570, 51, 64, 73, 90, 26, 26, 14], [46, 10, 75, 401, 43, 211, 109, 41, 23, 41], [40, 2, 99, 63, 539, 50, 94, 88, 16, 9], [23, 4, 65, 153, 47, 576, 50, 55, 15, 12], [10, 6, 39, 56, 30, 36, 793, 9, 13, 8], [24, 7, 51, 47, 59, 79, 9, 689, 12, 23], [61, 34, 8, 5, 4, 8, 3, 5, 844, 28], [25, 104, 9, 22, 3, 7, 15, 11, 49, 755]]"
9,9,10,1,0.6593,0.6759,"[[673, 39, 47, 21, 24, 15, 21, 25, 82, 53], [11, 800, 7, 12, 2, 4, 10, 4, 26, 124], [49, 8, 531, 57, 114, 94, 89, 26, 21, 11], [20, 9, 51, 397, 66, 279, 97, 37, 13, 31], [22, 3, 47, 56, 637, 54, 74, 90, 14, 3], [8, 5, 41, 134, 76, 625, 48, 48, 7, 8], [1, 3, 38, 57, 41, 45, 793, 9, 6, 7], [7, 3, 36, 36, 64, 94, 11, 724, 6, 19], [61, 44, 8, 15, 10, 15, 8, 7, 795, 37], [16, 91, 9, 24, 3, 9, 16, 13, 35, 784]]"
