round	train_acc	test_acc	f1	time_stamp	time_hours
0.0	0.0	0.6505382386916231	0.0	286.4627295698045	0.07957298043605679
0.0	0.0	2.312239174480008	0.0	571.7058849498684	0.15880719026385232
0.0	0.0	0.3959797974644657	0.0	885.6169219087092	0.2460047005301971
0.0	0.0	0.8343860018001265	0.0	1222.0726262604396	0.33946461840567765
0.0	0.0	0.7071067811865462	0.0	1552.3438816072567	0.43120663377979346
0.0	0.0	2.2273863607376274	0.0	1881.776964600786	0.5227158235002182
0.0	0.0	1.5132085117392085	0.0	2216.983754824242	0.6158288207845116
0.0	0.0	0.565685424949236	0.0	2555.814506750727	0.7099484740974238
0.0	0.0	0.8626702730475871	0.0	2895.185795886878	0.8042182766352436
0.0	0.0	0.1979898987322341	0.0	3229.701646185884	0.8971393461627455
0.0	0.0	1.138441917710341	0.0	3562.30118937067	0.9895281081585193
0.0	0.0	1.7536248173426356	0.0	3899.7516210502436	1.0832643391806231
0.0	0.0	2.036467529817255	0.0	4247.048759750194	1.179735766597276
0.0	0.0	2.609224022578359	0.0	4595.272772555045	1.2764646590430684
0.0	0.0	2.665792565073281	0.0	4941.356608347725	1.3725990578743685
0.0	0.0	3.7193816690412347	0.0	5290.557812356867	1.469599392321352
0.0	0.0	3.903229432149741	0.0	5637.277585762338	1.5659104404895385
0.0	0.0	3.6628131265463133	0.0	5985.399490071652	1.6626109694643478
0.0	0.0	3.1819805153394665	0.0	6331.716434520063	1.7588101207000169
0.0	0.0	3.4718942956259458	0.0	6681.460483531704	1.8559612454254735
0.0	0.0	2.9981327522309655	0.0	7027.824620817915	1.9521735057827543
0.0	0.0	2.0506096654409918	0.0	7376.796940802834	2.04911026133412
0.0	0.0	3.075914498161485	0.0	7719.549688622338	2.1443193579506494
0.0	0.0	2.870853531617382	0.0	8063.99304263043	2.2399980673973414
0.0	0.0	1.2869343417595143	0.0	8408.102484353683	2.3355840234315792
0.0	0.0	2.1213203435596424	0.0	8733.531666640547	2.4259810185112642
0.0	0.0	0.3181980515339484	0.0	9050.052173968608	2.513903381657948
0.0	0.0	0.700035713374681	0.0	9347.19538615284	2.596443162820234
0.0	0.0	1.0606601717798212	0.0	9649.878443325615	2.6805217898126714
0.0	0.0	1.2303657992645967	0.0	9951.253722395611	2.7642371451098926
0.0	0.0	0.5727564927611051	0.0	10242.62702983859	2.8451741749551647
0.0	0.0	0.13435028842544997	0.0	10530.938336874235	2.925260649131732
0.0	0.0	0.05656854249493013	0.0	10816.937390418958	3.004704830671931
0.0	0.0	0.4879036790187237	0.0	11102.950060936077	3.0841527947044662
0.0	0.0	0.014142135623735673	0.0	11388.999539476128	3.163610983187812
0.0	0.0	0.4030508652763298	0.0	11674.666753012261	3.24296298694785
0.0	0.0	0.615182899632292	0.0	11961.470587816657	3.32263071883796
0.0	0.0	0.4596194077712524	0.0	12248.619748441055	3.4023943745669594
0.0	0.0	0.14142135623730398	0.0	12534.905925705385	3.48191831269594
0.0	0.0	0.014142135623730649	0.0	12819.714172307524	3.561031714529868
0.0	0.0	0.07778174593051983	0.0	13108.997919248932	3.6413883109024816
0.0	0.0	0.21213203435596223	0.0	13398.079849883754	3.7216888471899323
0.0	0.0	0.2687005768508874	0.0	13686.182052411183	3.8017172367808834
0.0	0.0	0.26162950903902327	0.0	13972.397548399034	3.8812215412219553
0.0	0.0	0.5232590180780441	0.0	14446.770892749608	4.012991914652669
0.0	0.0	0.14142135623731153	0.0	15046.359096812914	4.179544193559142
0.0	0.0	0.10606601717797862	0.0	15653.23156632964	4.348119879536013
0.0	0.0	0.141421356237309	0.0	15985.095744957187	4.440304373599219
0.0	0.0	0.1979898987322341	0.0	16277.576643762111	4.521549067711696
0.0	0.0	0.7141778489984141	0.0	16551.263473827024	4.597573187174174
