,Round,Epoch,Train Accuracy,Test Accuracy,Confusion Matrix
0,0,10,0.10324,0.1,"[[194, 0, 0, 0, 0, 0, 0, 0, 616, 190], [314, 0, 0, 0, 0, 0, 0, 0, 377, 309], [488, 0, 0, 0, 0, 0, 0, 0, 333, 179], [576, 0, 0, 0, 0, 0, 0, 0, 304, 120], [623, 0, 0, 0, 0, 0, 0, 0, 209, 168], [534, 0, 0, 0, 0, 0, 0, 0, 381, 85], [636, 0, 0, 0, 0, 0, 0, 0, 192, 172], [516, 0, 0, 0, 0, 0, 0, 0, 362, 122], [227, 0, 0, 0, 0, 0, 0, 0, 533, 240], [269, 0, 0, 0, 0, 0, 0, 0, 458, 273]]"
1,1,10,0.10782,0.1095,"[[269, 0, 0, 0, 0, 0, 0, 0, 251, 480], [253, 0, 0, 0, 0, 0, 1, 0, 112, 634], [427, 0, 0, 0, 0, 0, 0, 0, 131, 442], [572, 0, 0, 0, 0, 0, 0, 0, 100, 328], [472, 0, 0, 0, 0, 0, 0, 0, 54, 474], [609, 0, 0, 0, 0, 0, 0, 0, 126, 265], [519, 0, 0, 0, 0, 0, 0, 0, 39, 442], [497, 0, 0, 0, 0, 0, 0, 0, 106, 397], [277, 0, 0, 0, 0, 0, 1, 0, 205, 517], [245, 0, 0, 0, 0, 0, 0, 0, 134, 621]]"
2,2,10,0.11344,0.1142,"[[331, 0, 0, 0, 0, 0, 0, 0, 71, 598], [202, 0, 0, 0, 0, 0, 0, 0, 26, 772], [359, 0, 0, 0, 0, 0, 0, 0, 23, 618], [505, 0, 0, 0, 0, 0, 0, 0, 24, 471], [379, 0, 0, 0, 0, 0, 0, 0, 7, 614], [599, 0, 0, 0, 0, 0, 0, 0, 23, 378], [400, 0, 0, 0, 0, 0, 0, 0, 6, 594], [418, 0, 0, 0, 0, 0, 0, 0, 20, 562], [282, 0, 0, 0, 0, 0, 1, 0, 31, 686], [191, 0, 0, 0, 0, 0, 0, 0, 29, 780]]"
3,3,10,0.11784,0.1181,"[[347, 0, 0, 0, 0, 0, 0, 4, 10, 639], [150, 0, 0, 0, 0, 0, 0, 0, 6, 844], [300, 0, 0, 0, 0, 0, 0, 3, 2, 695], [458, 0, 0, 0, 0, 0, 0, 0, 5, 537], [308, 0, 0, 0, 0, 0, 0, 0, 0, 692], [577, 0, 0, 0, 0, 0, 0, 0, 3, 420], [306, 0, 0, 0, 0, 0, 0, 0, 2, 692], [380, 0, 0, 0, 0, 0, 1, 0, 0, 619], [252, 0, 0, 0, 0, 0, 1, 2, 2, 743], [165, 0, 0, 0, 0, 0, 0, 0, 3, 832]]"
4,4,10,0.1042,0.1061,"[[144, 0, 0, 0, 0, 0, 0, 240, 0, 616], [96, 0, 0, 0, 0, 0, 0, 64, 1, 839], [191, 0, 0, 0, 0, 0, 0, 113, 0, 696], [316, 0, 0, 0, 0, 0, 0, 125, 0, 559], [235, 0, 0, 0, 0, 0, 0, 55, 0, 710], [361, 0, 0, 0, 0, 1, 0, 184, 0, 454], [222, 0, 0, 0, 0, 0, 0, 58, 0, 720], [291, 0, 0, 0, 0, 0, 0, 76, 0, 633], [143, 0, 0, 0, 0, 0, 1, 120, 0, 736], [93, 0, 0, 0, 0, 1, 0, 66, 0, 840]]"
5,5,10,0.11472,0.1174,"[[12, 0, 0, 0, 0, 4, 0, 641, 0, 343], [15, 0, 0, 0, 0, 6, 0, 357, 0, 622], [26, 0, 0, 0, 0, 3, 0, 515, 0, 456], [41, 0, 0, 0, 0, 6, 0, 585, 0, 368], [33, 0, 0, 0, 0, 0, 0, 467, 0, 500], [40, 0, 0, 0, 0, 10, 0, 679, 0, 271], [29, 0, 0, 0, 0, 1, 0, 463, 0, 507], [39, 0, 0, 0, 0, 4, 0, 542, 0, 415], [14, 0, 0, 0, 0, 5, 0, 540, 0, 441], [5, 0, 0, 0, 0, 3, 0, 382, 0, 610]]"
6,6,10,0.11334,0.1135,"[[0, 0, 0, 0, 0, 8, 0, 886, 0, 106], [0, 0, 0, 0, 0, 20, 0, 737, 0, 243], [0, 0, 0, 0, 0, 14, 0, 794, 0, 192], [3, 0, 0, 0, 0, 32, 0, 832, 0, 133], [1, 0, 0, 0, 0, 7, 0, 794, 0, 198], [1, 0, 0, 0, 0, 34, 0, 880, 0, 85], [0, 0, 0, 0, 0, 26, 0, 768, 0, 206], [0, 0, 0, 0, 0, 10, 0, 872, 0, 118], [0, 0, 0, 0, 0, 15, 0, 838, 0, 147], [0, 0, 0, 0, 0, 13, 0, 758, 0, 229]]"
7,7,10,0.10964,0.1096,"[[0, 0, 0, 0, 0, 31, 0, 943, 0, 26], [0, 0, 0, 0, 0, 75, 0, 842, 0, 83], [0, 0, 0, 0, 0, 45, 0, 885, 0, 70], [0, 0, 0, 0, 0, 103, 0, 841, 0, 56], [0, 0, 0, 0, 0, 53, 0, 880, 0, 67], [0, 0, 0, 0, 0, 99, 0, 876, 0, 25], [0, 0, 0, 0, 0, 102, 0, 825, 0, 73], [0, 0, 0, 0, 0, 37, 0, 945, 0, 18], [0, 0, 0, 0, 0, 56, 0, 925, 0, 19], [0, 0, 0, 0, 0, 41, 0, 907, 0, 52]]"
8,8,10,0.11392,0.1119,"[[0, 0, 0, 0, 0, 96, 0, 893, 0, 11], [0, 0, 0, 0, 0, 186, 0, 776, 0, 38], [0, 0, 0, 0, 0, 148, 0, 819, 0, 33], [0, 0, 0, 0, 0, 247, 0, 732, 0, 21], [0, 0, 0, 0, 0, 185, 0, 789, 0, 26], [0, 0, 0, 0, 0, 221, 0, 771, 0, 8], [0, 0, 0, 0, 0, 308, 0, 664, 0, 28], [0, 0, 0, 0, 0, 111, 0, 885, 0, 4], [0, 0, 0, 0, 0, 142, 0, 849, 0, 9], [0, 0, 0, 0, 0, 99, 0, 888, 0, 13]]"
9,9,10,0.11616,0.115,"[[0, 0, 0, 0, 0, 192, 0, 796, 0, 12], [0, 0, 0, 0, 0, 340, 0, 617, 0, 43], [0, 0, 0, 0, 0, 329, 0, 642, 0, 29], [0, 0, 0, 0, 0, 463, 0, 521, 0, 16], [0, 1, 0, 0, 0, 417, 1, 563, 0, 18], [0, 0, 0, 0, 0, 412, 0, 578, 0, 10], [0, 0, 0, 0, 0, 528, 0, 451, 0, 21], [0, 0, 0, 0, 0, 276, 0, 718, 0, 6], [0, 0, 0, 0, 0, 281, 0, 706, 0, 13], [0, 2, 0, 0, 0, 179, 0, 799, 0, 20]]"
