01-31 06:27 WARNING  Partitioning data
01-31 06:28 WARNING  >>>>>>>>>>>>> in comm round: 0 from 10
01-31 06:30 WARNING  >>>>>>>>>>>>> DAISY chain 0
01-31 06:33 WARNING  >>>>>>>>>>>>> DAISY chain 1
01-31 06:35 WARNING  >>>>>>>>>>>>> DAISY chain 2
01-31 06:38 WARNING  >>>>>>>>>>>>> DAISY chain 3
01-31 06:40 WARNING  >>>>>>>>>>>>> DAISY chain 4
01-31 06:43 WARNING  >>>>>>>>>>>>> DAISY chain 5
01-31 06:46 WARNING  >>>>>>>>>>>>> DAISY chain 6
01-31 06:48 WARNING  >>>>>>>>>>>>> DAISY chain 7
01-31 06:50 WARNING  >>>>>>>>>>>>> DAISY chain 8
01-31 06:53 WARNING  >>>>>>>>>>>>> DAISY chain 9
01-31 06:56 WARNING  >>>>>>>>>>>>> DAISY chain 10
01-31 06:56 WARNING  >>>>>>>>>>>>> in comm round: 1 from 10
01-31 06:59 WARNING  >>>>>>>>>>>>> DAISY chain 0
01-31 07:01 WARNING  >>>>>>>>>>>>> DAISY chain 1
01-31 07:04 WARNING  >>>>>>>>>>>>> DAISY chain 2
01-31 07:06 WARNING  >>>>>>>>>>>>> DAISY chain 3
01-31 07:08 WARNING  >>>>>>>>>>>>> DAISY chain 4
01-31 07:11 WARNING  >>>>>>>>>>>>> DAISY chain 5
01-31 07:14 WARNING  >>>>>>>>>>>>> DAISY chain 6
01-31 07:16 WARNING  >>>>>>>>>>>>> DAISY chain 7
01-31 07:19 WARNING  >>>>>>>>>>>>> DAISY chain 8
01-31 07:21 WARNING  >>>>>>>>>>>>> DAISY chain 9
01-31 07:24 WARNING  >>>>>>>>>>>>> DAISY chain 10
01-31 07:24 WARNING  >>>>>>>>>>>>> in comm round: 2 from 10
01-31 07:27 WARNING  >>>>>>>>>>>>> DAISY chain 0
01-31 07:30 WARNING  >>>>>>>>>>>>> DAISY chain 1
01-31 07:33 WARNING  >>>>>>>>>>>>> DAISY chain 2
01-31 07:35 WARNING  >>>>>>>>>>>>> DAISY chain 3
01-31 07:37 WARNING  >>>>>>>>>>>>> DAISY chain 4
01-31 07:40 WARNING  >>>>>>>>>>>>> DAISY chain 5
01-31 07:43 WARNING  >>>>>>>>>>>>> DAISY chain 6
01-31 07:46 WARNING  >>>>>>>>>>>>> DAISY chain 7
01-31 07:49 WARNING  >>>>>>>>>>>>> DAISY chain 8
01-31 07:52 WARNING  >>>>>>>>>>>>> DAISY chain 9
01-31 07:54 WARNING  >>>>>>>>>>>>> DAISY chain 10
01-31 07:55 WARNING  >>>>>>>>>>>>> in comm round: 3 from 10
01-31 07:57 WARNING  >>>>>>>>>>>>> DAISY chain 0
01-31 07:59 WARNING  >>>>>>>>>>>>> DAISY chain 1
01-31 08:03 WARNING  >>>>>>>>>>>>> DAISY chain 2
01-31 08:05 WARNING  >>>>>>>>>>>>> DAISY chain 3
01-31 08:07 WARNING  >>>>>>>>>>>>> DAISY chain 4
01-31 08:10 WARNING  >>>>>>>>>>>>> DAISY chain 5
01-31 08:13 WARNING  >>>>>>>>>>>>> DAISY chain 6
01-31 08:16 WARNING  >>>>>>>>>>>>> DAISY chain 7
01-31 08:18 WARNING  >>>>>>>>>>>>> DAISY chain 8
01-31 08:21 WARNING  >>>>>>>>>>>>> DAISY chain 9
01-31 08:23 WARNING  >>>>>>>>>>>>> DAISY chain 10
01-31 08:24 WARNING  >>>>>>>>>>>>> in comm round: 4 from 10
01-31 08:26 WARNING  >>>>>>>>>>>>> DAISY chain 0
01-31 08:29 WARNING  >>>>>>>>>>>>> DAISY chain 1
01-31 08:31 WARNING  >>>>>>>>>>>>> DAISY chain 2
01-31 08:34 WARNING  >>>>>>>>>>>>> DAISY chain 3
01-31 08:37 WARNING  >>>>>>>>>>>>> DAISY chain 4
01-31 08:39 WARNING  >>>>>>>>>>>>> DAISY chain 5
01-31 08:42 WARNING  >>>>>>>>>>>>> DAISY chain 6
01-31 08:44 WARNING  >>>>>>>>>>>>> DAISY chain 7
01-31 08:47 WARNING  >>>>>>>>>>>>> DAISY chain 8
01-31 08:50 WARNING  >>>>>>>>>>>>> DAISY chain 9
01-31 08:53 WARNING  >>>>>>>>>>>>> DAISY chain 10
01-31 08:53 WARNING  >>>>>>>>>>>>> in comm round: 5 from 10
01-31 08:56 WARNING  >>>>>>>>>>>>> DAISY chain 0
01-31 09:01 WARNING  >>>>>>>>>>>>> DAISY chain 1
01-31 09:04 WARNING  >>>>>>>>>>>>> DAISY chain 2
01-31 09:07 WARNING  >>>>>>>>>>>>> DAISY chain 3
01-31 09:10 WARNING  >>>>>>>>>>>>> DAISY chain 4
01-31 09:13 WARNING  >>>>>>>>>>>>> DAISY chain 5
01-31 09:17 WARNING  >>>>>>>>>>>>> DAISY chain 6
01-31 09:19 WARNING  >>>>>>>>>>>>> DAISY chain 7
01-31 09:21 WARNING  >>>>>>>>>>>>> DAISY chain 8
01-31 09:23 WARNING  >>>>>>>>>>>>> DAISY chain 9
01-31 09:26 WARNING  >>>>>>>>>>>>> DAISY chain 10
01-31 09:26 WARNING  >>>>>>>>>>>>> in comm round: 6 from 10
01-31 09:28 WARNING  >>>>>>>>>>>>> DAISY chain 0
01-31 09:31 WARNING  >>>>>>>>>>>>> DAISY chain 1
01-31 09:33 WARNING  >>>>>>>>>>>>> DAISY chain 2
01-31 09:36 WARNING  >>>>>>>>>>>>> DAISY chain 3
01-31 09:39 WARNING  >>>>>>>>>>>>> DAISY chain 4
01-31 09:42 WARNING  >>>>>>>>>>>>> DAISY chain 5
01-31 09:44 WARNING  >>>>>>>>>>>>> DAISY chain 6
01-31 09:48 WARNING  >>>>>>>>>>>>> DAISY chain 7
01-31 09:50 WARNING  >>>>>>>>>>>>> DAISY chain 8
01-31 09:53 WARNING  >>>>>>>>>>>>> DAISY chain 9
01-31 09:57 WARNING  >>>>>>>>>>>>> DAISY chain 10
01-31 09:57 WARNING  >>>>>>>>>>>>> in comm round: 7 from 10
01-31 10:01 WARNING  >>>>>>>>>>>>> DAISY chain 0
01-31 10:04 WARNING  >>>>>>>>>>>>> DAISY chain 1
01-31 10:06 WARNING  >>>>>>>>>>>>> DAISY chain 2
01-31 10:08 WARNING  >>>>>>>>>>>>> DAISY chain 3
01-31 10:11 WARNING  >>>>>>>>>>>>> DAISY chain 4
01-31 10:13 WARNING  >>>>>>>>>>>>> DAISY chain 5
01-31 10:17 WARNING  >>>>>>>>>>>>> DAISY chain 6
01-31 10:19 WARNING  >>>>>>>>>>>>> DAISY chain 7
01-31 10:22 WARNING  >>>>>>>>>>>>> DAISY chain 8
01-31 10:25 WARNING  >>>>>>>>>>>>> DAISY chain 9
01-31 10:29 WARNING  >>>>>>>>>>>>> DAISY chain 10
01-31 10:30 WARNING  >>>>>>>>>>>>> in comm round: 8 from 10
01-31 10:33 WARNING  >>>>>>>>>>>>> DAISY chain 0
01-31 10:37 WARNING  >>>>>>>>>>>>> DAISY chain 1
01-31 10:40 WARNING  >>>>>>>>>>>>> DAISY chain 2
01-31 10:45 WARNING  >>>>>>>>>>>>> DAISY chain 3
01-31 10:47 WARNING  >>>>>>>>>>>>> DAISY chain 4
01-31 10:51 WARNING  >>>>>>>>>>>>> DAISY chain 5
01-31 10:54 WARNING  >>>>>>>>>>>>> DAISY chain 6
01-31 10:58 WARNING  >>>>>>>>>>>>> DAISY chain 7
01-31 11:03 WARNING  >>>>>>>>>>>>> DAISY chain 8
01-31 11:05 WARNING  >>>>>>>>>>>>> DAISY chain 9
01-31 11:08 WARNING  >>>>>>>>>>>>> DAISY chain 10
01-31 11:09 WARNING  >>>>>>>>>>>>> in comm round: 9 from 10
01-31 11:12 WARNING  >>>>>>>>>>>>> DAISY chain 0
01-31 11:18 WARNING  >>>>>>>>>>>>> DAISY chain 1
01-31 11:22 WARNING  >>>>>>>>>>>>> DAISY chain 2
01-31 11:26 WARNING  >>>>>>>>>>>>> DAISY chain 3
01-31 11:30 WARNING  >>>>>>>>>>>>> DAISY chain 4
01-31 11:33 WARNING  >>>>>>>>>>>>> DAISY chain 5
01-31 11:36 WARNING  >>>>>>>>>>>>> DAISY chain 6
01-31 11:40 WARNING  >>>>>>>>>>>>> DAISY chain 7
01-31 11:44 WARNING  >>>>>>>>>>>>> DAISY chain 8
01-31 11:46 WARNING  >>>>>>>>>>>>> DAISY chain 9
01-31 11:52 WARNING  >>>>>>>>>>>>> DAISY chain 10
01-31 11:52 WARNING  Execution time: 5 hours, 25 minutes, 4.69 seconds
