,Round,Daisy,Epoch,Train Accuracy,Test Accuracy,Confusion Matrix
0,0,10,1,0.41096,0.4504,"[[543, 55, 56, 20, 24, 6, 27, 25, 182, 62], [44, 569, 10, 27, 9, 5, 30, 24, 91, 191], [84, 26, 204, 70, 289, 58, 131, 77, 32, 29], [31, 19, 79, 277, 98, 155, 162, 96, 20, 63], [49, 14, 68, 66, 497, 26, 142, 95, 29, 14], [21, 21, 70, 214, 106, 312, 89, 115, 24, 28], [4, 13, 48, 75, 248, 29, 502, 40, 16, 25], [30, 13, 47, 77, 121, 71, 39, 521, 13, 68], [187, 78, 15, 24, 11, 6, 13, 14, 560, 92], [49, 144, 10, 39, 7, 13, 40, 44, 135, 519]]"
1,1,10,1,0.49262,0.5289,"[[565, 80, 55, 23, 19, 5, 27, 15, 132, 79], [23, 754, 7, 12, 4, 5, 9, 16, 25, 145], [69, 31, 340, 82, 129, 86, 135, 67, 27, 34], [19, 34, 63, 365, 51, 175, 140, 82, 17, 54], [35, 25, 95, 84, 422, 35, 132, 130, 22, 20], [12, 17, 78, 214, 52, 400, 69, 115, 12, 31], [5, 21, 62, 97, 103, 21, 635, 23, 6, 27], [20, 11, 27, 68, 66, 80, 23, 633, 5, 67], [107, 133, 13, 25, 10, 14, 9, 8, 596, 85], [29, 248, 10, 21, 3, 14, 25, 24, 47, 579]]"
2,2,10,1,0.53088,0.5607,"[[569, 66, 30, 11, 10, 4, 22, 12, 209, 67], [21, 766, 3, 6, 3, 3, 12, 8, 38, 140], [89, 33, 357, 76, 100, 64, 160, 51, 41, 29], [36, 37, 40, 334, 47, 152, 197, 57, 35, 65], [43, 20, 77, 56, 417, 29, 172, 121, 46, 19], [23, 18, 73, 189, 48, 400, 101, 89, 26, 33], [8, 23, 38, 55, 55, 13, 743, 19, 20, 26], [29, 15, 25, 58, 60, 58, 40, 636, 12, 67], [67, 92, 5, 19, 3, 3, 9, 5, 748, 49], [25, 207, 8, 19, 1, 7, 26, 9, 61, 637]]"
3,3,10,1,0.56708,0.5938,"[[571, 43, 40, 14, 21, 12, 27, 14, 158, 100], [17, 700, 7, 7, 2, 9, 18, 11, 25, 204], [72, 17, 406, 76, 109, 77, 137, 50, 25, 31], [22, 20, 58, 358, 57, 222, 138, 54, 16, 55], [23, 12, 86, 65, 463, 46, 135, 136, 15, 19], [10, 7, 68, 157, 47, 516, 73, 76, 9, 37], [6, 14, 46, 71, 42, 22, 764, 11, 5, 19], [14, 8, 21, 61, 64, 79, 24, 671, 5, 53], [60, 69, 10, 22, 9, 7, 13, 5, 730, 75], [16, 107, 8, 21, 2, 13, 19, 16, 39, 759]]"
4,4,10,1,0.5883,0.618,"[[643, 34, 34, 8, 21, 11, 28, 19, 110, 92], [19, 724, 5, 9, 2, 8, 19, 8, 24, 182], [74, 13, 409, 80, 134, 62, 124, 51, 26, 27], [19, 20, 46, 395, 75, 165, 147, 67, 23, 43], [25, 7, 52, 49, 596, 32, 83, 121, 22, 13], [7, 6, 54, 187, 77, 471, 78, 86, 7, 27], [7, 12, 40, 65, 65, 20, 763, 15, 6, 7], [15, 9, 20, 56, 70, 71, 22, 701, 7, 29], [76, 65, 9, 20, 8, 6, 10, 7, 739, 60], [20, 112, 7, 22, 3, 9, 29, 22, 37, 739]]"
5,5,10,1,0.60382,0.6321,"[[659, 26, 57, 6, 17, 3, 20, 15, 152, 45], [31, 779, 6, 3, 3, 2, 12, 8, 50, 106], [65, 17, 519, 60, 105, 41, 102, 32, 37, 22], [22, 18, 94, 353, 75, 165, 130, 56, 41, 46], [27, 9, 90, 39, 619, 30, 75, 78, 26, 7], [15, 12, 74, 161, 74, 469, 80, 71, 19, 25], [4, 18, 58, 52, 54, 22, 760, 8, 11, 13], [16, 8, 44, 44, 102, 57, 13, 676, 10, 30], [65, 41, 12, 12, 11, 2, 7, 8, 818, 24], [33, 150, 15, 15, 6, 8, 23, 19, 62, 669]]"
6,6,10,1,0.61484,0.638,"[[665, 23, 59, 12, 19, 7, 31, 15, 106, 63], [24, 764, 5, 6, 3, 6, 20, 5, 35, 132], [54, 11, 466, 62, 114, 46, 161, 41, 21, 24], [15, 15, 70, 414, 63, 128, 194, 47, 20, 34], [27, 5, 68, 51, 585, 25, 126, 89, 16, 8], [9, 6, 63, 217, 66, 439, 102, 71, 8, 19], [4, 7, 20, 45, 28, 12, 860, 9, 7, 8], [14, 6, 34, 62, 77, 63, 26, 681, 8, 29], [65, 50, 13, 18, 11, 0, 13, 7, 789, 34], [32, 120, 8, 24, 5, 4, 33, 18, 39, 717]]"
7,7,10,1,0.62688,0.6485,"[[731, 19, 32, 5, 20, 5, 20, 18, 88, 62], [26, 762, 4, 4, 1, 5, 10, 7, 25, 156], [85, 15, 457, 75, 117, 45, 98, 54, 29, 25], [31, 17, 53, 420, 73, 153, 113, 62, 29, 49], [36, 12, 57, 48, 585, 22, 69, 142, 20, 9], [19, 4, 57, 197, 63, 477, 52, 95, 10, 26], [12, 11, 27, 62, 50, 29, 775, 14, 9, 11], [23, 6, 23, 51, 59, 60, 10, 735, 7, 26], [79, 52, 6, 12, 12, 5, 4, 8, 781, 41], [41, 101, 7, 16, 4, 3, 18, 15, 33, 762]]"
8,8,10,1,0.63308,0.6539,"[[707, 44, 36, 9, 17, 7, 20, 16, 85, 59], [12, 862, 4, 7, 1, 5, 16, 3, 16, 74], [68, 21, 494, 66, 110, 49, 113, 34, 27, 18], [22, 22, 62, 399, 86, 155, 141, 49, 23, 41], [29, 11, 72, 46, 610, 21, 82, 103, 18, 8], [12, 14, 57, 173, 80, 482, 74, 75, 11, 22], [7, 13, 29, 47, 43, 31, 810, 7, 8, 5], [19, 14, 37, 43, 70, 65, 18, 701, 6, 27], [77, 75, 5, 16, 9, 4, 7, 8, 755, 44], [28, 153, 13, 18, 4, 7, 22, 12, 24, 719]]"
9,9,10,1,0.6452,0.6631,"[[713, 22, 51, 8, 16, 7, 21, 13, 101, 48], [25, 805, 10, 6, 2, 7, 17, 4, 27, 97], [77, 8, 550, 64, 98, 50, 86, 29, 25, 13], [24, 14, 81, 429, 66, 173, 117, 38, 28, 30], [36, 4, 93, 58, 606, 25, 73, 85, 15, 5], [13, 6, 75, 184, 58, 512, 64, 62, 12, 14], [6, 6, 51, 53, 39, 31, 789, 8, 10, 7], [22, 4, 38, 52, 66, 74, 11, 709, 9, 15], [66, 45, 7, 18, 12, 5, 7, 7, 806, 27], [35, 123, 12, 22, 5, 7, 22, 18, 44, 712]]"
